#  iFrame          Time(ps)     <Ree^2>(A^2)     stdRee^2(A^2)     <Ree^2>/M(molnm2/kg)
#======================================================================================
       469        469.000     14724.84         0.00       24.521
       470        470.000     10185.29         0.00       16.961
       471        471.000      2995.33         0.00        4.988
       472        472.000      8427.63         0.00       14.034
       473        473.000      2630.92         0.00        4.381
       474        474.000      8324.53         0.00       13.863
       475        475.000      4259.23         0.00        7.093
       476        476.000      4982.76         0.00        8.298
       477        477.000     13095.94         0.00       21.808
       478        478.000     10631.86         0.00       17.705
       479        479.000     16014.45         0.00       26.669
       480        480.000     21696.08         0.00       36.130
       481        481.000     29709.35         0.00       49.474
       482        482.000     21231.83         0.00       35.357
       483        483.000      4624.73         0.00        7.701
       484        484.000     12542.75         0.00       20.887
       485        485.000      5505.80         0.00        9.169
       486        486.000     10528.08         0.00       17.532
       487        487.000      2658.85         0.00        4.428
       488        488.000     20722.81         0.00       34.509
       489        489.000      8921.33         0.00       14.857
       490        490.000     12426.37         0.00       20.693
       491        491.000       687.38         0.00        1.145
       492        492.000     11525.25         0.00       19.193
       493        493.000     12032.43         0.00       20.037
       494        494.000     22156.92         0.00       36.897
       495        495.000     18059.18         0.00       30.074
       496        496.000     12477.32         0.00       20.778
       497        497.000      7759.84         0.00       12.922
       498        498.000     21389.68         0.00       35.620
       499        499.000      6026.39         0.00       10.036
       500        500.000     26189.53         0.00       43.613
       501        501.000      6396.49         0.00       10.652
       502        502.000      7166.56         0.00       11.934
       503        503.000      4748.31         0.00        7.907
       504        504.000     13880.55         0.00       23.115
       505        505.000      4608.69         0.00        7.675
       506        506.000     13076.57         0.00       21.776
       507        507.000      5802.21         0.00        9.662
       508        508.000      3834.84         0.00        6.386
       509        509.000      9068.90         0.00       15.102
       510        510.000     12099.88         0.00       20.150
       511        511.000     25366.74         0.00       42.243
       512        512.000       359.58         0.00        0.599
       513        513.000     14103.42         0.00       23.486
       514        514.000      6286.21         0.00       10.468
       515        515.000     10917.13         0.00       18.180
       516        516.000     24860.90         0.00       41.400
       517        517.000      1964.51         0.00        3.271
       518        518.000      8877.38         0.00       14.783
       519        519.000     21448.39         0.00       35.718
       520        520.000      6140.88         0.00       10.226
       521        521.000      9598.50         0.00       15.984
       522        522.000     11183.96         0.00       18.624
       523        523.000     31958.89         0.00       53.220
       524        524.000       767.72         0.00        1.278
       525        525.000     17322.02         0.00       28.846
       526        526.000     15168.94         0.00       25.261
       527        527.000      3061.78         0.00        5.099
       528        528.000     27187.26         0.00       45.274
       529        529.000     22055.74         0.00       36.729
       530        530.000      6833.56         0.00       11.380
       531        531.000      1493.98         0.00        2.488
       532        532.000      3298.00         0.00        5.492
       533        533.000      2998.14         0.00        4.993
       534        534.000      3225.53         0.00        5.371
       535        535.000      3801.78         0.00        6.331
       536        536.000      4383.40         0.00        7.300
       537        537.000      8163.42         0.00       13.594
       538        538.000      1576.68         0.00        2.626
       539        539.000      3425.89         0.00        5.705
       540        540.000     10064.53         0.00       16.760
       541        541.000      2752.36         0.00        4.583
       542        542.000     14246.84         0.00       23.725
       543        543.000      8383.18         0.00       13.960
       544        544.000     19840.03         0.00       33.039
       545        545.000      4844.58         0.00        8.068
       546        546.000     18656.54         0.00       31.068
       547        547.000      1854.29         0.00        3.088
       548        548.000      4154.88         0.00        6.919
       549        549.000      1574.59         0.00        2.622
       550        550.000      5431.61         0.00        9.045
       551        551.000     10829.79         0.00       18.035
       552        552.000      7881.87         0.00       13.126
       553        553.000     13128.95         0.00       21.863
       554        554.000      6637.88         0.00       11.054
       555        555.000      1706.69         0.00        2.842
       556        556.000     17752.49         0.00       29.563
       557        557.000      2816.92         0.00        4.691
       558        558.000     13132.64         0.00       21.870
       559        559.000     10260.90         0.00       17.087
       560        560.000     29352.74         0.00       48.880
       561        561.000      1993.94         0.00        3.320
       562        562.000      1601.25         0.00        2.667
       563        563.000      6536.81         0.00       10.886
       564        564.000      7083.92         0.00       11.797
       565        565.000      3340.61         0.00        5.563
       566        566.000     10739.66         0.00       17.885
       567        567.000      4772.37         0.00        7.947
       568        568.000      5005.14         0.00        8.335
       569        569.000      6763.26         0.00       11.263
       570        570.000     14812.94         0.00       24.668
       571        571.000      9752.47         0.00       16.241
       572        572.000      7372.34         0.00       12.277
       573        573.000      1540.34         0.00        2.565
       574        574.000      4947.17         0.00        8.238
       575        575.000     19483.31         0.00       32.445
       576        576.000      4696.11         0.00        7.820
       577        577.000      3039.66         0.00        5.062
       578        578.000     23458.66         0.00       39.065
       579        579.000     17636.30         0.00       29.369
       580        580.000      6804.74         0.00       11.332
       581        581.000      2449.51         0.00        4.079
       582        582.000      7725.50         0.00       12.865
       583        583.000     25078.14         0.00       41.762
       584        584.000      2097.05         0.00        3.492
       585        585.000      9042.42         0.00       15.058
       586        586.000     16261.45         0.00       27.080
       587        587.000     24184.63         0.00       40.274
       588        588.000     10364.12         0.00       17.259
       589        589.000      3898.99         0.00        6.493
       590        590.000      4310.38         0.00        7.178
       591        591.000      1970.73         0.00        3.282
       592        592.000     13896.77         0.00       23.142
       593        593.000      7717.00         0.00       12.851
       594        594.000     12959.33         0.00       21.581
       595        595.000     15873.80         0.00       26.434
       596        596.000     16215.18         0.00       27.003
       597        597.000     10528.38         0.00       17.533
       598        598.000     26521.00         0.00       44.165
       599        599.000      7779.82         0.00       12.956
       600        600.000     20343.09         0.00       33.877
       601        601.000      6213.38         0.00       10.347
       602        602.000      3688.70         0.00        6.143
       603        603.000      4073.54         0.00        6.784
       604        604.000      4205.30         0.00        7.003
       605        605.000      7516.10         0.00       12.516
       606        606.000     17754.97         0.00       29.567
       607        607.000     15857.88         0.00       26.408
       608        608.000     28630.45         0.00       47.678
       609        609.000      5983.78         0.00        9.965
       610        610.000      7825.30         0.00       13.031
       611        611.000      4004.85         0.00        6.669
       612        612.000     20836.38         0.00       34.698
       613        613.000     21422.17         0.00       35.674
       614        614.000      4532.73         0.00        7.548
       615        615.000      9992.31         0.00       16.640
       616        616.000     31867.75         0.00       53.069
       617        617.000      4520.86         0.00        7.528
       618        618.000     27399.92         0.00       45.629
       619        619.000       882.61         0.00        1.470
       620        620.000      3627.34         0.00        6.041
       621        621.000     19511.29         0.00       32.492
       622        622.000      3174.45         0.00        5.286
       623        623.000      9004.85         0.00       14.996
       624        624.000      6425.62         0.00       10.700
       625        625.000     13555.96         0.00       22.574
       626        626.000      7392.75         0.00       12.311
       627        627.000     13343.44         0.00       22.221
       628        628.000      7778.34         0.00       12.953
       629        629.000      5811.34         0.00        9.677
       630        630.000     13916.71         0.00       23.175
       631        631.000     11554.57         0.00       19.242
       632        632.000     13535.53         0.00       22.540
       633        633.000      2111.03         0.00        3.515
       634        634.000     20440.29         0.00       34.039
       635        635.000     13653.33         0.00       22.737
       636        636.000      6623.37         0.00       11.030
       637        637.000      3251.68         0.00        5.415
       638        638.000     17046.54         0.00       28.387
       639        639.000      6960.46         0.00       11.591
       640        640.000      7229.04         0.00       12.038
       641        641.000      2774.55         0.00        4.620
       642        642.000     29402.55         0.00       48.963
       643        643.000      6752.10         0.00       11.244
       644        644.000      3426.88         0.00        5.707
       645        645.000     16251.65         0.00       27.064
       646        646.000     25507.57         0.00       42.477
       647        647.000      1632.23         0.00        2.718
       648        648.000     21871.67         0.00       36.422
       649        649.000      4514.31         0.00        7.518
       650        650.000      2506.66         0.00        4.174
       651        651.000      1643.05         0.00        2.736
       652        652.000     25606.38         0.00       42.642
       653        653.000     21237.56         0.00       35.366
       654        654.000      3188.40         0.00        5.310
       655        655.000     46561.03         0.00       77.537
       656        656.000     13097.97         0.00       21.812
       657        657.000      7145.34         0.00       11.899
       658        658.000      6882.33         0.00       11.461
       659        659.000      3871.55         0.00        6.447
       660        660.000      9213.11         0.00       15.342
       661        661.000      8693.07         0.00       14.476
       662        662.000      2809.47         0.00        4.679
       663        663.000      1823.39         0.00        3.036
       664        664.000      2158.74         0.00        3.595
       665        665.000      3765.81         0.00        6.271
       666        666.000      9745.05         0.00       16.228
       667        667.000     21634.66         0.00       36.028
       668        668.000      3113.72         0.00        5.185
       669        669.000     11670.72         0.00       19.435
       670        670.000     10307.02         0.00       17.164
       671        671.000      2639.35         0.00        4.395
       672        672.000     17982.37         0.00       29.946
       673        673.000     15434.00         0.00       25.702
       674        674.000      8198.45         0.00       13.653
       675        675.000      2242.36         0.00        3.734
       676        676.000      6753.97         0.00       11.247
       677        677.000     26334.63         0.00       43.855
       678        678.000      8992.55         0.00       14.975
       679        679.000      4659.16         0.00        7.759
       680        680.000     17264.12         0.00       28.750
       681        681.000      8216.73         0.00       13.683
       682        682.000     22166.76         0.00       36.914
       683        683.000      4341.46         0.00        7.230
       684        684.000     10218.79         0.00       17.017
       685        685.000     11144.10         0.00       18.558
       686        686.000      8495.86         0.00       14.148
       687        687.000      1669.64         0.00        2.780
       688        688.000     12121.32         0.00       20.185
       689        689.000     16173.28         0.00       26.933
       690        690.000      7125.98         0.00       11.867
