#  Number of backbone atoms:500.0, calc_distances:True, lavg :1.5413478552416318
#  iFrame          Time(ps)     <Ree^2>/nl^2     6.0*<Rg^2>/nl^2      Cn_formula
#===============================================================================
       461        461.000         5.10         6.07          0.00
       462        462.000        15.17        10.77          0.00
       463        463.000        25.65        13.35          0.00
       464        464.000        13.18        15.85          0.00
       465        465.000         2.00         4.06          0.00
       466        466.000         5.26        13.49          0.00
       467        467.000         2.23         6.90          0.00
       468        468.000         9.72         6.82          0.00
       469        469.000        12.40         5.47          0.00
       470        470.000         8.58        12.44          0.00
       471        471.000         2.52         3.61          0.00
       472        472.000         7.10         7.32          0.00
       473        473.000         2.22         3.47          0.00
       474        474.000         7.01         4.96          0.00
       475        475.000         3.59         5.35          0.00
       476        476.000         4.21         5.78          0.00
       477        477.000        11.04         8.82          0.00
       478        478.000         8.96         7.46          0.00
       479        479.000        13.49        10.65          0.00
       480        480.000        18.31        12.66          0.00
       481        481.000        25.00        17.09          0.00
       482        482.000        17.89        10.46          0.00
       483        483.000         3.90        12.33          0.00
       484        484.000        10.60         8.93          0.00
       485        485.000         4.65         6.19          0.00
       486        486.000         8.89        11.64          0.00
       487        487.000         2.25         5.25          0.00
       488        488.000        17.47        13.67          0.00
       489        489.000         7.53        10.22          0.00
       490        490.000        10.51        10.20          0.00
       491        491.000         0.58         3.89          0.00
       492        492.000         9.74         7.38          0.00
       493        493.000        10.15        11.77          0.00
       494        494.000        18.72        10.95          0.00
       495        495.000        15.23         7.54          0.00
       496        496.000        10.52         5.36          0.00
       497        497.000         6.55         6.56          0.00
       498        498.000        18.04         9.48          0.00
       499        499.000         5.09         8.31          0.00
       500        500.000        22.14        12.12          0.00
       501        501.000         5.39         7.12          0.00
       502        502.000         6.03         6.54          0.00
       503        503.000         4.00         7.13          0.00
       504        504.000        11.68         9.19          0.00
       505        505.000         3.89         3.88          0.00
       506        506.000        11.04         7.19          0.00
       507        507.000         4.90         6.11          0.00
       508        508.000         3.23         5.92          0.00
       509        509.000         7.64        10.76          0.00
       510        510.000        10.22         9.45          0.00
       511        511.000        21.41        18.78          0.00
       512        512.000         0.30         5.36          0.00
       513        513.000        11.93         5.63          0.00
       514        514.000         5.31         4.69          0.00
       515        515.000         9.21         6.23          0.00
       516        516.000        20.95        11.96          0.00
       517        517.000         1.66         5.97          0.00
       518        518.000         7.49         6.85          0.00
       519        519.000        18.10         9.55          0.00
       520        520.000         5.17        12.77          0.00
       521        521.000         8.08         5.20          0.00
       522        522.000         9.42         6.90          0.00
       523        523.000        26.92        19.67          0.00
       524        524.000         0.65         3.03          0.00
       525        525.000        14.58        14.07          0.00
       526        526.000        12.77         8.51          0.00
       527        527.000         2.58         7.55          0.00
       528        528.000        22.93        15.69          0.00
       529        529.000        18.62        12.30          0.00
       530        530.000         5.76         9.81          0.00
       531        531.000         1.26         2.49          0.00
       532        532.000         2.78         6.03          0.00
