           IFrame     Ebond           Eangle         Etors             Eimpr                ELJ                     Ecoul              ETot                Move           Flip         RotStrand        RotBranch       FlpBranch                 Time
        6900000     243.7528467     202.4228302     451.7802385       0.0000000           -40.9920991             0.0000000           856.9638162       7.4465375      17.7450376      33.5876348       0.0000000       0.0000000               354.475
        7000000     241.9660792     205.3495493     409.1766122       0.0000000           -39.5270505             0.0000000           816.9651902       7.4456107      17.7439588      33.5938903       0.0000000       0.0000000               359.628
        7100000     248.9718927     203.7714490     401.6602152       0.0000000           -33.9255501             0.0000000           820.4780068       7.4475807      17.7332709      33.5937086       0.0000000       0.0000000               364.750
        7200000     247.8266497     209.8996026     398.5388365       0.0000000           -38.2328228             0.0000000           818.0322660       7.4478932      17.7363615      33.5922730       0.0000000       0.0000000               369.886
        7300000     214.6899733     240.3562836     426.4175818       0.0000000           -38.0661064             0.0000000           843.3977323       7.4446540      17.7382731      33.5924865       0.0000000       0.0000000               375.046
        7400000     223.5792999     211.2761581     384.8931201       0.0000000           -35.2018021             0.0000000           784.5467760       7.4470900      17.7300804      33.5948862       0.0000000       0.0000000               380.180
        7500000     202.5209753     219.4015825     432.1845385       0.0000000           -39.2048236             0.0000000           814.9022727       7.4474955      17.7347552      33.5970341       0.0000000       0.0000000               385.322
        7600000     199.7214072     210.5983586     424.9668536       0.0000000           -36.4789051             0.0000000           798.8077143       7.4424442      17.7307693      33.5971542       0.0000000       0.0000000               390.448
        7700000     244.7754183     211.9859970     393.8366727       0.0000000           -41.2640032             0.0000000           809.3340848       7.4453541      17.7357620      33.5957439       0.0000000       0.0000000               395.577
        7800000     230.7793553     226.8826840     425.2908421       0.0000000           -40.6541721             0.0000000           842.2987093       7.4436271      17.7419066      33.5974622       0.0000000       0.0000000               400.720
        7900000     230.2253084     224.2433726     393.9222254       0.0000000           -42.4646871             0.0000000           805.9262194       7.4445370      17.7308621      33.5922438       0.0000000       0.0000000               405.865
        8000000     232.1140326     223.4062934     429.9886063       0.0000000           -38.9200545             0.0000000           846.5888777       7.4494328      17.7334300      33.5888329       0.0000000       0.0000000               411.006
        8100000     215.2143366     203.8826784     393.1792428       0.0000000           -31.4666217             0.0000000           780.8096360       7.4494713      17.7427667      33.5919808       0.0000000       0.0000000               416.164
        8200000     199.6501496     214.7713982     396.2723409       0.0000000           -40.9946145             0.0000000           769.6992741       7.4527150      17.7446998      33.5911849       0.0000000       0.0000000               421.308
        8300000     198.9039654     227.4375458     424.3875967       0.0000000           -32.2047203             0.0000000           818.5243876       7.4475062      17.7469186      33.5895703       0.0000000       0.0000000               426.458
        8400000     210.7735089     219.0165422     416.6573723       0.0000000           -39.0211113             0.0000000           807.4263120       7.4436462      17.7455847      33.5922895       0.0000000       0.0000000               431.589
        8500000     250.2493492     230.0490452     411.1209444       0.0000000           -39.9364495             0.0000000           851.4828894       7.4499716      17.7454320      33.5936009       0.0000000       0.0000000               436.749
        8600000     238.5374597     250.3918040     408.5148770       0.0000000           -34.7160380             0.0000000           862.7281027       7.4497166      17.7432504      33.5993548       0.0000000       0.0000000               441.895
        8700000     208.1848254     210.1196561     401.2458933       0.0000000           -41.7665151             0.0000000           777.7838597       7.4451408      17.7450707      33.5998636       0.0000000       0.0000000               447.045
        8800000     216.3495537     199.6799712     420.8992735       0.0000000           -37.2438779             0.0000000           799.6849205       7.4408401      17.7493133      33.5980289       0.0000000       0.0000000               452.181
        8900000     221.6189983     229.8769544     397.2804968       0.0000000           -39.9801831             0.0000000           808.7962664       7.4406767      17.7483969      33.5974241       0.0000000       0.0000000               457.332
        9000000     232.4827080     227.9821874     399.7325345       0.0000000           -39.2233777             0.0000000           820.9740522       7.4370723      17.7435593      33.5985805       0.0000000       0.0000000               462.485
        9100000     233.8086385     245.4917154     426.2828355       0.0000000           -40.2041647             0.0000000           865.3790247       7.4364274      17.7399349      33.5987041       0.0000000       0.0000000               467.607
        9200000     232.0032197     218.1193094     415.8315301       0.0000000           -35.3010529             0.0000000           830.6530062       7.4394323      17.7431401      33.5972339       0.0000000       0.0000000               472.736
        9300000     224.6434982     213.4714716     403.3859139       0.0000000           -40.0148709             0.0000000           801.4860128       7.4346566      17.7456962      33.5973330       0.0000000       0.0000000               477.882
        9400000     221.5909940     226.1890107     410.6155338       0.0000000           -39.7946137             0.0000000           818.6009248       7.4323635      17.7403367      33.5939596       0.0000000       0.0000000               483.005
        9500000     230.1530700     206.6214145     421.9006106       0.0000000           -40.2603505             0.0000000           818.4147446       7.4334736      17.7423492      33.5906000       0.0000000       0.0000000               488.143
        9600000     249.3620450     195.5641852     403.4837321       0.0000000           -38.7538706             0.0000000           809.6560916       7.4301465      17.7402479      33.5923291       0.0000000       0.0000000               493.279
        9700000     241.8412149     232.6422986     390.0909417       0.0000000           -42.9252550             0.0000000           821.6492002       7.4309176      17.7437023      33.5917553       0.0000000       0.0000000               498.438
        9800000     199.3642944     252.2277745     451.0308435       0.0000000           -38.2904684             0.0000000           864.3324439       7.4333343      17.7430251      33.5920459       0.0000000       0.0000000               503.572
        9900000     221.9591708     198.5264573     366.7090263       0.0000000           -37.3335647             0.0000000           749.8610897       7.4306730      17.7375613      33.5930732       0.0000000       0.0000000               508.702
       10000000     212.0145342     212.4047496     413.2820296       0.0000000           -40.2903035             0.0000000           797.4110100       7.4330218      17.7373301      33.5954155       0.0000000       0.0000000               513.826
       10100000     234.8999931     221.6769690     413.7107490       0.0000000           -39.4686183             0.0000000           830.8190928       7.4348685      17.7354794      33.5945044       0.0000000       0.0000000               518.962
       10200000     223.0068812     240.8051180     436.0955679       0.0000000           -40.6608231             0.0000000           859.2467441       7.4312841      17.7349302      33.5965846       0.0000000       0.0000000               524.112
       10300000     205.9490769     225.3433745     409.1221886       0.0000000           -36.3660805             0.0000000           804.0485595       7.4330650      17.7333895      33.5983811       0.0000000       0.0000000               529.264
       10400000     219.1337700     222.9396960     419.9196372       0.0000000           -39.9706093             0.0000000           822.0224940       7.4300960      17.7314652      33.5971948       0.0000000       0.0000000               534.395
       10500000     235.3836420     227.7159194     404.4721746       0.0000000           -39.6679761             0.0000000           827.9037599       7.4301299      17.7313777      33.5985404       0.0000000       0.0000000               539.529
       10600000     234.7545829     197.8750524     397.0707085       0.0000000           -33.5504292             0.0000000           796.1499146       7.4257617      17.7297403      33.6029695       0.0000000       0.0000000               544.670
       10700000     212.9372832     202.2646455     406.5109842       0.0000000           -33.9192447             0.0000000           787.7936681       7.4206983      17.7261853      33.6040491       0.0000000       0.0000000               549.823
       10800000     234.3945836     212.0781105     405.1216601       0.0000000           -37.2236745             0.0000000           814.3706797       7.4187360      17.7246848      33.6050711       0.0000000       0.0000000               554.956
