#  iFrame          Time(ps)     <Rg^2>(A^2)     stdRg^2(A^2)     <Rg^2>/M(molnm2/kg)
#===================================================================================
       220        220.000      1541.85         0.00        2.568
       221        221.000      2354.90         0.00        3.922
       222        222.000      2913.50         0.00        4.852
       223        223.000      1629.47         0.00        2.714
       224        224.000      1049.30         0.00        1.747
       225        225.000      1281.41         0.00        2.134
       226        226.000       774.52         0.00        1.290
       227        227.000       936.55         0.00        1.560
       228        228.000      1096.07         0.00        1.825
       229        229.000      1572.11         0.00        2.618
       230        230.000      1296.35         0.00        2.159
       231        231.000       834.32         0.00        1.389
       232        232.000       628.07         0.00        1.046
       233        233.000      1848.78         0.00        3.079
       234        234.000      1645.70         0.00        2.741
       235        235.000      2409.17         0.00        4.012
       236        236.000      1663.55         0.00        2.770
       237        237.000      1623.11         0.00        2.703
       238        238.000       485.89         0.00        0.809
       239        239.000      1209.14         0.00        2.014
       240        240.000      1238.41         0.00        2.062
       241        241.000      1423.90         0.00        2.371
       242        242.000      1642.52         0.00        2.735
       243        243.000      1932.32         0.00        3.218
       244        244.000      2500.22         0.00        4.164
       245        245.000      1131.33         0.00        1.884
       246        246.000      1334.38         0.00        2.222
       247        247.000      1299.86         0.00        2.165
       248        248.000       676.21         0.00        1.126
       249        249.000      4329.27         0.00        7.209
       250        250.000      1576.68         0.00        2.626
       251        251.000      1039.25         0.00        1.731
       252        252.000      1837.81         0.00        3.060
       253        253.000      2176.04         0.00        3.624
       254        254.000       917.79         0.00        1.528
       255        255.000      2258.08         0.00        3.760
       256        256.000      3930.35         0.00        6.545
       257        257.000      3586.33         0.00        5.972
       258        258.000      1257.07         0.00        2.093
       259        259.000      1463.33         0.00        2.437
       260        260.000       955.64         0.00        1.591
       261        261.000       564.69         0.00        0.940
       262        262.000       575.60         0.00        0.959
       263        263.000      1181.36         0.00        1.967
       264        264.000      3774.11         0.00        6.285
       265        265.000      2048.36         0.00        3.411
       266        266.000      3996.45         0.00        6.655
       267        267.000      3341.30         0.00        5.564
       268        268.000      2930.09         0.00        4.879
       269        269.000       351.70         0.00        0.586
       270        270.000      2183.22         0.00        3.636
       271        271.000      2100.27         0.00        3.498
       272        272.000      4230.40         0.00        7.045
       273        273.000      1722.50         0.00        2.868
       274        274.000      1731.95         0.00        2.884
       275        275.000      4149.99         0.00        6.911
       276        276.000       581.38         0.00        0.968
       277        277.000      1360.47         0.00        2.266
       278        278.000       879.10         0.00        1.464
       279        279.000      1989.56         0.00        3.313
       280        280.000       727.70         0.00        1.212
       281        281.000      2169.67         0.00        3.613
       282        282.000      1637.50         0.00        2.727
