# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
     222           20.872                8.749         4633.680          278278
     223           20.879                8.752         4655.992          277277
     224           20.885                8.755         4678.320          276276
     225           20.892                8.758         4700.694          275275
     226           20.899                8.760         4723.080          274274
     227           20.905                8.763         4745.468          273273
     228           20.912                8.766         4767.848          272272
     229           20.918                8.768         4790.218          271271
     230           20.924                8.771         4812.588          270270
     231           20.930                8.774         4834.942          269269
     232           20.937                8.776         4857.296          268268
     233           20.943                8.779         4879.648          267267
     234           20.949                8.781         4901.995          266266
     235           20.955                8.784         4924.332          265265
     236           20.960                8.786         4946.675          264264
     237           20.966                8.789         4969.023          263263
     238           20.972                8.791         4991.396          262262
     239           20.978                8.794         5013.736          261261
     240           20.984                8.796         5036.088          260260
     241           20.989                8.798         5058.438          259259
     242           20.995                8.801         5080.790          258258
     243           21.001                8.803         5103.156          257257
     244           21.006                8.805         5125.531          256256
     245           21.012                8.808         5147.891          255255
     246           21.017                8.810         5170.225          254254
     247           21.023                8.812         5192.564          253253
     248           21.028                8.814         5214.871          252252
     249           21.033                8.817         5237.150          251251
     250           21.038                8.819         5259.386          250250
     251           21.042                8.821         5281.578          249249
     252           21.047                8.822         5303.740          248248
     253           21.051                8.824         5325.893          247247
     254           21.055                8.826         5348.018          246246
     255           21.059                8.828         5370.097          245245
     256           21.063                8.829         5392.138          244244
     257           21.067                8.831         5414.165          243243
     258           21.070                8.832         5436.183          242242
     259           21.074                8.834         5458.216          241241
     260           21.078                8.836         5480.257          240240
     261           21.082                8.837         5502.308          239239
     262           21.085                8.839         5524.392          238238
     263           21.089                8.840         5546.467          237237
     264           21.093                8.842         5568.585          236236
     265           21.097                8.844         5590.730          235235
     266           21.101                8.845         5612.870          234234
     267           21.105                8.847         5635.042          233233
     268           21.109                8.849         5657.207          232232
     269           21.113                8.850         5679.376          231231
     270           21.117                8.852         5701.569          230230
     271           21.121                8.854         5723.752          229229
     272           21.125                8.855         5745.941          228228
     273           21.129                8.857         5768.140          227227
     274           21.133                8.858         5790.333          226226
     275           21.136                8.860         5812.526          225225
     276           21.140                8.862         5834.726          224224
     277           21.144                8.863         5856.966          223223
     278           21.148                8.865         5879.253          222222
     279           21.153                8.867         5901.590          221221
     280           21.157                8.869         5923.957          220220
     281           21.161                8.871         5946.378          219219
     282           21.166                8.872         5968.830          218218
     283           21.171                8.874         5991.309          217217
     284           21.175                8.876         6013.790          216216
     285           21.180                8.878         6036.318          215215
     286           21.185                8.880         6058.835          214214
     287           21.189                8.882         6081.381          213213
     288           21.194                8.884         6103.954          212212
     289           21.199                8.886         6126.535          211211
     290           21.204                8.888         6149.146          210210
     291           21.209                8.890         6171.767          209209
     292           21.214                8.892         6194.420          208208
     293           21.219                8.895         6217.107          207207
     294           21.224                8.897         6239.826          206206
     295           21.229                8.899         6262.562          205205
     296           21.234                8.901         6285.299          204204
     297           21.239                8.903         6308.038          203203
     298           21.244                8.905         6330.796          202202
     299           21.249                8.907         6353.592          201201
     300           21.255                8.910         6376.407          200200
     301           21.260                8.912         6399.258          199199
     302           21.265                8.914         6422.082          198198
     303           21.270                8.916         6444.903          197197
     304           21.275                8.918         6467.724          196196
     305           21.281                8.920         6490.556          195195
     306           21.286                8.923         6513.416          194194
     307           21.291                8.925         6536.314          193193
     308           21.296                8.927         6559.264          192192
     309           21.302                8.929         6582.208          191191
     310           21.307                8.932         6605.151          190190
     311           21.312                8.934         6628.077          189189
     312           21.317                8.936         6651.059          188188
     313           21.323                8.938         6674.030          187187
     314           21.328                8.940         6697.043          186186
     315           21.334                8.943         6720.074          185185
     316           21.339                8.945         6743.110          184184
     317           21.344                8.947         6766.192          183183
     318           21.350                8.950         6789.301          182182
     319           21.356                8.952         6812.443          181181
     320           21.361                8.954         6835.616          180180
     321           21.367                8.957         6858.811          179179
     322           21.373                8.959         6882.023          178178
     323           21.379                8.962         6905.289          177177
     324           21.385                8.964         6928.596          176176
     325           21.391                8.967         6951.923          175175
     326           21.397                8.969         6975.294          174174
     327           21.403                8.972         6998.671          173173
     328           21.409                8.974         7022.079          172172
     329           21.415                8.977         7045.448          171171
     330           21.421                8.979         7068.821          170170
     331           21.427                8.982         7092.236          169169
     332           21.433                8.984         7115.710          168168
     333           21.439                8.987         7139.215          167167
     334           21.445                8.990         7162.722          166166
     335           21.452                8.992         7186.261          165165
     336           21.458                8.995         7209.818          164164
     337           21.464                8.997         7233.361          163163
     338           21.470                9.000         7256.904          162162
     339           21.476                9.002         7280.444          161161
     340           21.482                9.005         7304.009          160160
     341           21.489                9.008         7327.608          159159
     342           21.495                9.010         7351.191          158158
     343           21.501                9.013         7374.757          157157
     344           21.507                9.015         7398.318          156156
     345           21.513                9.018         7421.828          155155
     346           21.518                9.020         7445.330          154154
     347           21.524                9.022         7468.785          153153
     348           21.529                9.025         7492.233          152152
     349           21.535                9.027         7515.619          151151
     350           21.540                9.029         7538.983          150150
     351           21.545                9.031         7562.316          149149
     352           21.550                9.033         7585.648          148148
     353           21.555                9.036         7608.982          147147
     354           21.560                9.038         7632.300          146146
     355           21.565                9.040         7655.623          145145
     356           21.570                9.042         7678.933          144144
     357           21.575                9.044         7702.272          143143
     358           21.580                9.046         7725.525          142142
     359           21.584                9.048         7748.807          141141
     360           21.589                9.050         7772.070          140140
     361           21.594                9.052         7795.291          139139
     362           21.598                9.054         7818.512          138138
     363           21.603                9.055         7841.716          137137
     364           21.607                9.057         7864.917          136136
     365           21.611                9.059         7888.087          135135
     366           21.615                9.061         7911.237          134134
     367           21.620                9.063         7934.419          133133
     368           21.624                9.064         7957.642          132132
     369           21.629                9.066         7980.937          131131
     370           21.633                9.068         8004.249          130130
     371           21.638                9.070         8027.604          129129
     372           21.643                9.072         8051.032          128128
     373           21.648                9.074         8074.525          127127
     374           21.653                9.076         8098.095          126126
     375           21.658                9.079         8121.790          125125
     376           21.664                9.081         8145.498          124124
     377           21.669                9.083         8169.230          123123
     378           21.675                9.086         8192.970          122122
     379           21.680                9.088         8216.624          121121
     380           21.685                9.090         8240.270          120120
     381           21.690                9.092         8263.847          119119
     382           21.695                9.094         8287.400          118118
     383           21.700                9.096         8310.942          117117
     384           21.704                9.098         8334.484          116116
     385           21.709                9.100         8358.020          115115
     386           21.714                9.102         8381.520          114114
     387           21.718                9.104         8404.903          113113
     388           21.722                9.106         8428.263          112112
     389           21.726                9.107         8451.518          111111
     390           21.730                9.109         8474.723          110110
     391           21.734                9.110         8497.881          109109
     392           21.737                9.112         8521.073          108108
     393           21.741                9.113         8544.204          107107
     394           21.744                9.115         8567.269          106106
     395           21.748                9.116         8590.387          105105
     396           21.751                9.118         8613.423          104104
     397           21.754                9.119         8636.475          103103
     398           21.757                9.120         8659.482          102102
     399           21.761                9.122         8682.547          101101
     400           21.764                9.123         8705.520          100100
     401           21.767                9.124         8728.622           99099
     402           21.770                9.126         8751.659           98098
     403           21.774                9.127         8774.778           97097
     404           21.777                9.129         8797.928           96096
     405           21.780                9.130         8821.058           95095
     406           21.783                9.131         8844.009           94094
     407           21.786                9.132         8866.902           93093
     408           21.788                9.133         8889.694           92092
     409           21.790                9.134         8912.293           91091
     410           21.792                9.135         8934.887           90090
     411           21.794                9.136         8957.280           89089
     412           21.795                9.136         8979.510           88088
     413           21.796                9.136         9001.693           87087
     414           21.796                9.137         9023.749           86086
     415           21.797                9.137         9045.658           85085
     416           21.797                9.137         9067.518           84084
     417           21.797                9.137         9089.217           83083
     418           21.796                9.137         9110.772           82082
     419           21.795                9.136         9132.244           81081
     420           21.794                9.136         9153.615           80080
     421           21.794                9.136         9175.096           79079
     422           21.793                9.135         9196.586           78078
     423           21.792                9.135         9218.104           77077
     424           21.792                9.135         9239.671           76076
     425           21.791                9.134         9261.168           75075
     426           21.790                9.134         9282.722           74074
     427           21.790                9.134         9304.281           73073
     428           21.789                9.134         9325.687           72072
     429           21.788                9.133         9347.171           71071
     430           21.787                9.133         9368.584           70070
     431           21.787                9.133         9390.045           69069
     432           21.786                9.132         9411.433           68068
     433           21.785                9.132         9432.755           67067
     434           21.784                9.131         9454.174           66066
     435           21.783                9.131         9475.476           65065
     436           21.781                9.130         9496.716           64064
     437           21.780                9.130         9517.905           63063
     438           21.779                9.129         9539.108           62062
     439           21.778                9.129         9560.382           61061
     440           21.777                9.128         9581.730           60060
     441           21.776                9.128         9603.006           59059
     442           21.775                9.128         9624.340           58058
     443           21.774                9.127         9645.749           57057
     444           21.773                9.127         9667.101           56056
     445           21.772                9.126         9688.341           55055
     446           21.770                9.126         9709.536           54054
     447           21.768                9.125         9730.501           53053
     448           21.766                9.124         9751.267           52052
     449           21.764                9.123         9771.945           51051
     450           21.762                9.122         9792.707           50050
     451           21.759                9.121         9813.258           49049
     452           21.756                9.120         9833.855           48048
     453           21.754                9.119         9854.380           47047
     454           21.751                9.118         9874.906           46046
     455           21.748                9.116         9895.278           45045
     456           21.745                9.115         9915.668           44044
     457           21.741                9.114         9935.783           43043
     458           21.738                9.112         9955.918           42042
     459           21.734                9.111         9976.005           41041
     460           21.730                9.109         9995.855           40040
     461           21.726                9.107        10015.702           39039
     462           21.722                9.106        10035.686           38038
     463           21.719                9.104        10055.673           37037
     464           21.715                9.102        10075.649           36036
     465           21.711                9.101        10095.494           35035
     466           21.707                9.099        10115.687           34034
     467           21.704                9.098        10135.923           33033
     468           21.702                9.097        10156.529           32032
     469           21.700                9.096        10177.134           31031
     470           21.698                9.095        10197.861           30030
     471           21.695                9.094        10218.391           29029
     472           21.693                9.093        10239.205           28028
     473           21.691                9.093        10259.912           27027
     474           21.689                9.092        10280.740           26026
     475           21.688                9.091        10301.593           25025
     476           21.687                9.091        10322.784           24024
     477           21.686                9.091        10344.454           23023
     478           21.687                9.091        10366.375           22022
     479           21.688                9.091        10388.678           21021
     480           21.690                9.092        10411.038           20020
     481           21.690                9.092        10432.705           19019
     482           21.689                9.091        10453.883           18018
     483           21.686                9.091        10474.557           17017
     484           21.684                9.090        10494.992           16016
     485           21.681                9.088        10515.460           15015
     486           21.677                9.087        10535.064           14014
     487           21.672                9.085        10554.427           13013
     488           21.666                9.082        10573.029           12012
     489           21.661                9.080        10592.328           11011
     490           21.658                9.079        10612.277           10010
     491           21.655                9.077        10632.488            9009
     492           21.651                9.076        10652.212            8008
     493           21.649                9.075        10672.992            7007
     494           21.646                9.074        10693.275            6006
     495           21.646                9.074        10714.919            5005
     496           21.646                9.074        10736.460            4004
     497           21.645                9.073        10757.512            3003
     498           21.640                9.071        10776.638            2002
     499           21.638                9.070        10797.147            1001
