#./odf_intra.dat
# odfintra Version: intra-chain ODF with P2 and pxy
# 49900 vectors per frame, 499 vectors per chain, 100 chains
# P1(n) = <u(0)u(n)> = <costhe>  
# P2(n) = 1/2*<3*(u(0)u(n))^2 - 1> = 1/2<3*costhe^2 - 1> 2nd Legendre polynomial 
# P2 values +1: Parallel, -0.5: orthogonal, 0: No correlation # u(0) u(n) are unit vectors at distance n bonds.  
# n  P1  P2  pxy  pxy2  xx yy zz  x4 y4 z4  xxyy xxzz yyzz
# frames 151
130 -0.00021300309 0.00041545033 0.00158671 1.32921 -0.000250023 0.000256744 -0.000219724 0.110957 0.111367 0.111188 3.84661e-05 -2.89503e-06 1.41626e-05
131 -0.00043082913 -0.00038998175 0.00152805 1.32921 -0.000320137 0.000139107 -0.000249799 0.110857 0.111277 0.111024 -3.03152e-05 -1.66227e-05 4.4091e-06
132 -0.00046030201 0.0007275481 0.00139131 1.32984 -0.000378922 0.000171354 -0.000252734 0.110986 0.11135 0.111134 8.34787e-05 5.15875e-05 3.9036e-05
133 -0.00049646987 -0.00029528427 0.000741737 1.32957 -0.000343746 0.000180875 -0.0003336 0.110861 0.111223 0.111027 -4.9336e-06 2.95924e-05 -1.19858e-05
134 -0.00049942206 0.00059338027 0.000998152 1.32993 -0.000476413 0.000176051 -0.00019906 0.110971 0.11135 0.111083 4.26174e-05 6.53509e-05 5.45535e-05
135 -0.00043754681 -0.00038333636 0.000321536 1.32922 -0.000371246 0.000216308 -0.000282609 0.11088 0.111212 0.11108 -1.4105e-05 -1.9178e-05 -1.38688e-05
136 -0.00052972179 0.00066256174 -0.000354655 1.32968 -0.000566573 0.000205846 -0.000168994 0.110951 0.111363 0.111086 3.8877e-05 7.98167e-05 6.8673e-05
137 -0.00031083314 -0.00015359479 -9.64541e-05 1.32849 -0.000415957 0.000193179 -8.80551e-05 0.110914 0.111241 0.111098 6.08064e-06 -7.31616e-06 -9.9415e-06
138 -0.00022606475 0.00028297351 -0.000575652 1.33005 -0.000585545 0.000347912 1.15684e-05 0.110917 0.111344 0.11104 1.50039e-05 4.29232e-05 5.29871e-05
139 -0.00016036287 -7.7105508e-05 -0.000298478 1.32831 -0.00044958 0.00028822 9.97123e-07 0.110926 0.11124 0.1111 -1.59998e-05 1.23352e-05 1.17143e-05
