# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
     428           21.222                8.945         9082.997         1087200
     429           21.223                8.945         9104.813         1072100
     430           21.225                8.946         9126.603         1057000
     431           21.226                8.947         9148.398         1041900
     432           21.227                8.947         9170.183         1026800
     433           21.229                8.948         9191.985         1011700
     434           21.230                8.948         9213.803          996600
     435           21.231                8.949         9235.613          981500
     436           21.233                8.949         9257.425          966400
     437           21.234                8.950         9279.224          951300
     438           21.235                8.950         9300.996          936200
     439           21.236                8.951         9322.752          921100
     440           21.237                8.951         9344.486          906000
     441           21.239                8.952         9366.215          890900
     442           21.240                8.952         9387.876          875800
     443           21.240                8.953         9409.485          860700
     444           21.241                8.953         9431.066          845600
     445           21.242                8.953         9452.596          830500
     446           21.242                8.953         9474.060          815400
     447           21.243                8.954         9495.500          800300
     448           21.243                8.954         9516.896          785200
     449           21.243                8.954         9538.219          770100
     450           21.243                8.954         9559.509          755000
     451           21.243                8.954         9580.733          739900
     452           21.243                8.954         9601.948          724800
     453           21.243                8.954         9623.150          709700
     454           21.243                8.954         9644.347          694600
     455           21.243                8.954         9665.546          679500
     456           21.243                8.954         9686.716          664400
     457           21.242                8.953         9707.814          649300
     458           21.242                8.953         9728.950          634200
     459           21.242                8.953         9750.056          619100
     460           21.242                8.953         9771.215          604000
     461           21.242                8.953         9792.339          588900
     462           21.241                8.953         9813.438          573800
     463           21.241                8.953         9834.519          558700
     464           21.240                8.953         9855.572          543600
     465           21.240                8.952         9876.625          528500
     466           21.240                8.952         9897.670          513400
     467           21.239                8.952         9918.657          498300
     468           21.239                8.952         9939.688          483200
     469           21.238                8.952         9960.594          468100
     470           21.237                8.951         9981.465          453000
     471           21.236                8.951        10002.269          437900
     472           21.235                8.950        10023.044          422800
     473           21.234                8.950        10043.844          407700
     474           21.234                8.950        10064.725          392600
     475           21.233                8.949        10085.526          377500
     476           21.232                8.949        10106.364          362400
     477           21.231                8.949        10127.171          347300
     478           21.230                8.948        10148.014          332200
     479           21.229                8.948        10168.863          317100
     480           21.229                8.948        10189.855          302000
     481           21.228                8.948        10210.826          286900
     482           21.228                8.947        10231.776          271800
     483           21.227                8.947        10252.654          256700
     484           21.226                8.947        10273.496          241600
     485           21.225                8.946        10294.315          226500
     486           21.224                8.946        10314.816          211400
     487           21.223                8.945        10335.376          196300
     488           21.221                8.944        10355.842          181200
     489           21.219                8.944        10376.044          166100
     490           21.217                8.943        10396.228          151000
     491           21.214                8.942        10416.103          135900
     492           21.212                8.941        10436.303          120800
     493           21.210                8.940        10456.317          105700
     494           21.207                8.938        10476.073           90600
     495           21.203                8.937        10495.730           75500
     496           21.201                8.936        10515.506           60400
     497           21.199                8.935        10535.803           45300
     498           21.197                8.934        10556.116           30200
     499           21.193                8.933        10575.222           15100
