#./odf_intra.dat
# odfintra Version: intra-chain ODF with P2 and pxy
# 49900 vectors per frame, 499 vectors per chain, 100 chains
# P1(n) = <u(0)u(n)> = <costhe>  
# P2(n) = 1/2*<3*(u(0)u(n))^2 - 1> = 1/2<3*costhe^2 - 1> 2nd Legendre polynomial 
# P2 values +1: Parallel, -0.5: orthogonal, 0: No correlation # u(0) u(n) are unit vectors at distance n bonds.  
# n  P1  P2  pxy  pxy2  xx yy zz  x4 y4 z4  xxyy xxzz yyzz
# frames 4
46 -0.00050506052 -0.0017964476 -0.0120301 1.33879 -0.000991453 0.00134042 -0.000854031 0.109759 0.111286 0.111373 -0.000228382 0.000412404 -0.000324981
47 -0.00076530957 0.002232612 -0.0131049 1.33701 2.98454e-05 0.000483505 -0.00127866 0.109877 0.112353 0.111871 0.000183245 -0.000169623 0.000346668
48 -0.0011106854 -0.00017349139 -0.0102913 1.344 -0.00119485 0.00102717 -0.000943001 0.109831 0.111404 0.111313 -1.09796e-05 0.000389484 -4.31617e-05
49 -0.001600554 0.0013501588 -0.0122266 1.33577 -0.000531608 0.000468516 -0.00153746 0.109827 0.112474 0.111868 6.15796e-05 -0.000101876 7.22239e-05
50 -0.0020202423 0.00039300394 -0.0102762 1.34181 -0.000755136 0.000157079 -0.00142219 0.10987 0.111568 0.11114 -4.35987e-05 0.00022559 0.00032627
51 -0.0028351761 0.00077831521 -0.0103046 1.33692 4.74517e-07 -0.000140575 -0.00269508 0.109701 0.112267 0.111664 0.000292986 3.00503e-05 -0.000212953
52 -0.002558656 0.0016571548 -0.0113048 1.34378 -0.000149609 -0.000118382 -0.00229067 0.110114 0.111775 0.111266 0.000103493 0.000160133 0.000377978
53 -0.0015639636 0.00012980589 -0.00614412 1.33961 0.000429299 0.00049181 -0.00248507 0.10989 0.112017 0.111712 0.000206745 -0.000141405 -0.000164723
54 -0.0016044278 0.0017845168 -0.0100825 1.33918 -0.000360562 0.000579365 -0.00182323 0.11001 0.111968 0.111556 1.59135e-05 0.000266282 0.000212362
55 -0.0014224676 0.0010666232 -0.00177374 1.34003 0.000161662 0.000729647 -0.00231378 0.109742 0.112119 0.111717 0.000339148 -0.000158251 5.20849e-05
56 -0.0025492327 0.0017221866 -0.0033661 1.33997 -0.000979046 0.000767447 -0.00233763 0.110098 0.112229 0.111362 -4.74419e-05 0.000286801 0.000156847
57 -0.0011175678 0.00076850591 -0.00205588 1.33825 -1.54484e-05 0.00122793 -0.00233005 0.110007 0.111833 0.111784 0.000412359 -0.000308784 7.33907e-06
58 -0.002866076 0.0007869227 -0.00567696 1.34041 -0.00091138 0.00070018 -0.00265488 0.110112 0.112273 0.111316 -0.00032338 0.00020762 0.000194074
59 -0.00020685257 0.00193746 -0.00665347 1.34398 -0.000449799 0.00168292 -0.00143997 0.109864 0.111741 0.111684 0.000768155 -8.16529e-05 -1.84999e-05
60 -0.0020310076 0.0012326257 -0.00716396 1.33858 -0.0010144 0.00130195 -0.00231855 0.110155 0.112342 0.111397 -0.00043148 0.000383926 0.000178389
61 -0.00032729384 0.0011751986 -0.0101558 1.34424 -0.000375067 0.0010853 -0.00103753 0.109802 0.11174 0.111413 0.000689371 -6.20489e-05 -4.66315e-05
62 -0.0024609215 0.0020746604 -0.00627355 1.33787 -0.00135938 0.00133612 -0.00243767 0.110135 0.112355 0.111599 -0.000382288 0.000433062 0.000263339
63 -0.0011616594 0.0002398556 -0.00824126 1.33942 -0.00046966 0.000767037 -0.00145904 0.110063 0.111969 0.111428 0.000504189 -0.000159814 -0.000327762
64 -0.0010427778 0.0017904741 -0.00167914 1.34059 -0.000903525 0.00133966 -0.00147892 0.110048 0.112163 0.111541 -0.000313127 0.000487525 0.000213318
65 -0.00075724017 -0.00013970966 -0.00369272 1.3342 -0.00033943 0.000432286 -0.000850097 0.110043 0.111944 0.111798 0.000281457 -0.000237053 -0.000316687
66 0.0004326774 0.0018540873 -0.000976518 1.34071 0.000180448 0.00137868 -0.00112645 0.109991 0.112213 0.111511 -0.000344897 0.000364348 0.00040736
67 -0.0001762886 -0.00033844157 -0.00319365 1.33275 -0.000168882 -0.000502322 0.000494915 0.109834 0.112122 0.111763 0.000119394 -0.000184277 -0.000240896
68 0.0022430864 0.0010243053 0.000860529 1.34063 0.00083731 0.00131413 9.16433e-05 0.109991 0.112102 0.11133 -0.000193355 0.000130662 0.000359584
69 0.00099343312 -0.00037656037 -0.00375846 1.3291 0.000299318 -0.000395263 0.00108938 0.109869 0.111894 0.111917 0.000187298 -0.00015545 -0.000330367
70 0.0028521777 0.0007572539 -0.000324872 1.33956 0.000880331 0.00120889 0.000762962 0.109881 0.112324 0.111246 -0.000371446 0.00035255 0.000212532
71 0.0022890529 -0.00013761691 0.00082226 1.3349 0.000303368 0.00021876 0.00176692 0.110026 0.111847 0.111944 0.00027524 -0.000230373 -0.000332505
72 0.0039282066 0.00065480285 0.00304306 1.33958 0.00155721 0.000496313 0.00187468 0.109809 0.112189 0.111258 -0.000306093 0.000295236 0.000267736
73 0.0020901832 0.00021866396 0.00223631 1.33532 0.000566509 7.58619e-05 0.00144781 0.110131 0.111856 0.111656 0.000317588 -0.000165815 -0.000233867
74 0.0025657492 -0.00053911046 0.00622721 1.33921 0.000558745 0.000152303 0.0018547 0.109912 0.111939 0.1111 -0.000488361 0.000218073 0.000281505
75 0.0028707484 0.001745197 0.0020852 1.34067 0.000417425 0.000294299 0.00215902 0.110129 0.111948 0.111594 0.000453913 8.42848e-05 -0.000125596
76 0.0020823956 -0.0009868542 0.00656592 1.34186 0.000552032 -0.000504921 0.00203528 0.109765 0.111757 0.111149 -0.000452857 6.32521e-05 0.000391541
77 0.0029528152 0.0010155049 0.00473949 1.3416 0.000500065 0.000957333 0.00149542 0.109916 0.112064 0.111523 0.000202867 9.87978e-05 -4.81898e-05
78 0.0028336865 0.00024890204 0.00470355 1.33956 0.000531869 -0.00023945 0.00254127 0.109946 0.111786 0.111109 -0.000161426 7.4877e-05 0.000415604
79 0.0028817135 0.00067425728 0.00511288 1.33913 0.000550444 0.000782689 0.00154858 0.109884 0.112251 0.111613 2.73293e-05 8.8986e-05 -9.86621e-05
80 0.0019027081 -0.00025877275 0.00139986 1.33605 -6.80008e-05 -0.000505099 0.00247581 0.110042 0.111927 0.111222 -0.000122488 -0.000245142 0.000352505
81 0.0022924374 0.0013731871 0.00549012 1.34066 0.000161839 -0.000201697 0.00233229 0.109966 0.112176 0.111258 -7.99157e-05 0.000348566 0.000155526
82 0.0013461028 0.00074091109 0.00245758 1.33826 -0.000581395 -0.000936231 0.00286373 0.110156 0.111918 0.111473 -4.01175e-05 -0.000164489 0.000345039
83 0.0012810551 0.00081983739 0.00461893 1.33925 -0.000132197 -0.000985422 0.00239867 0.10978 0.11202 0.111156 5.28893e-05 0.00034021 6.88374e-05
84 0.0016280412 -0.00079786545 0.000495747 1.33835 -0.000805233 -0.00118099 0.00361426 0.110146 0.111733 0.11153 -7.21787e-05 -0.000330192 9.83532e-05
85 0.0020148336 0.00027287371 0.00406537 1.33929 -0.000580504 -0.00134063 0.00393597 0.109592 0.112172 0.110993 -6.50455e-05 0.000467445 -2.32173e-05
86 0.00035765823 0.0001700226 -0.00190327 1.34171 -0.00149287 -0.00195193 0.00380246 0.110218 0.111787 0.111518 0.000221363 -0.000446 0.000186196
87 9.7898012e-05 0.00040322278 0.00447221 1.33833 -0.00133585 -0.00189032 0.00332407 0.110042 0.112136 0.111146 -9.45429e-05 0.000283072 -4.96989e-05
88 -0.00064429257 -2.3460576e-05 0.000838124 1.33729 -0.00187706 -0.00185525 0.00308802 0.109972 0.111789 0.111799 0.000142929 -0.000264812 7.18908e-07
89 -0.001426102 0.00045311951 0.00403426 1.34175 -0.00166884 -0.00164085 0.00188359 0.109888 0.111758 0.111375 3.70134e-05 0.000349098 -7.89477e-05
90 4.1929255e-05 0.00019183397 0.00408304 1.33619 -0.00141107 -0.00188941 0.00334241 0.11009 0.111762 0.111853 0.000185658 -0.000193627 -0.000113293
91 -0.00089332829 0.00062807419 0.00326303 1.34802 -0.00149463 -0.00168984 0.00229114 0.109597 0.111723 0.111186 -0.000104017 0.000309893 0.000417289
92 -0.00056658589 0.0014335445 0.00803414 1.33635 -0.00105423 -0.00198959 0.00247723 0.110516 0.111969 0.111838 0.000124152 -7.41372e-05 -6.71048e-05
93 -0.00027145807 0.00070215498 0.00505783 1.3465 -0.000901354 -0.00148167 0.00211157 0.109824 0.111961 0.11116 -0.000202931 0.000328599 0.000301935
94 -0.001943203 0.00086114847 0.00861176 1.33779 -0.00164606 -0.00203742 0.00174028 0.109989 0.112026 0.111788 0.000264652 -5.48889e-05 -0.000157159
95 -0.0010284517 -8.3925288e-05 0.00320779 1.34589 -0.00169779 -0.00179007 0.0024594 0.110094 0.111964 0.111248 -0.000181471 0.000154826 1.21233e-05
96 -0.0024831487 0.0015138478 0.00988464 1.3398 -0.00117399 -0.00272625 0.0014171 0.109821 0.112242 0.112172 0.00021703 1.81655e-06 -0.000165056
97 -0.0022845111 3.0805247e-05 0.00793035 1.34179 -0.00208419 -0.00227076 0.00207043 0.110467 0.111599 0.111209 -3.07935e-05 0.000189821 -0.000119729
98 -0.0038739768 0.0024895636 0.012558 1.33354 -0.00205702 -0.0025156 0.000698649 0.110054 0.11271 0.112489 -0.000134342 0.000125283 -0.000120438
99 -0.0043260422 0.00078610334 0.00696114 1.34474 -0.00277565 -0.00228025 0.000729861 0.110524 0.111664 0.111398 5.04654e-05 6.87303e-05 1.61081e-05
100 -0.0040175126 0.00066958338 0.00981607 1.33112 -0.00230558 -0.00239171 0.000679773 0.10962 0.112561 0.112225 -7.60761e-05 -0.000107329 -0.000129166
101 -0.0040804071 -0.00023593701 0.00828759 1.34554 -0.00214455 -0.00259103 0.000655173 0.110311 0.111459 0.111126 6.90561e-06 0.000168395 -3.54936e-05
102 -0.0034679988 -0.00060938577 0.00867859 1.33324 -0.00229288 -0.00289895 0.00172383 0.109156 0.11205 0.111839 8.88872e-05 -3.90471e-05 -0.000108866
103 -0.0023212678 -0.0009862046 0.00729333 1.34024 -0.00156244 -0.00304523 0.0022864 0.110165 0.111718 0.11132 -0.00028291 4.6379e-05 -2.70249e-05
104 -0.0045179896 0.00049704118 0.00926117 1.33912 -0.00245923 -0.00302193 0.000963171 0.109105 0.112229 0.111787 0.000172442 4.49732e-05 5.43063e-05
105 -0.0035953016 -0.00075232698 0.00471169 1.33907 -0.00187781 -0.00414146 0.00242397 0.110226 0.111865 0.111328 -0.000309431 6.46527e-05 -4.88817e-05
106 -0.0041580835 6.6454511e-05 0.00403377 1.34131 -0.00250617 -0.00367497 0.00202306 0.109072 0.111912 0.111589 0.000279953 9.25421e-05 3.01493e-05
107 -0.0052448019 -0.0001221342 0.00412963 1.33703 -0.00270334 -0.00449927 0.00195782 0.110521 0.111849 0.111615 -0.000134815 -6.96483e-05 -0.000162219
108 -0.0033394782 -0.00050329573 -0.00108579 1.34206 -0.00144803 -0.00444801 0.00255655 0.109088 0.112052 0.111526 0.000189197 1.88259e-05 -4.22559e-05
109 -0.0047446219 0.0011290483 0.00200744 1.33426 -0.00216541 -0.00482896 0.00224975 0.110742 0.111918 0.11201 -7.61869e-05 -0.000102166 -0.000113323
110 -0.0016291879 -0.0021053052 -0.0035145 1.34004 -0.000805375 -0.00408474 0.00326093 0.109164 0.112059 0.111222 -2.60352e-05 -0.000101231 -0.000130575
111 -0.0025409362 0.0014627048 -0.00452756 1.33524 -0.0013076 -0.00438677 0.00315344 0.110629 0.111704 0.112113 -0.000126253 8.50481e-05 -2.77678e-05
112 -0.0012875177 -0.0013947744 -0.0111828 1.34112 -0.000984933 -0.00377906 0.00347647 0.109325 0.111931 0.111484 0.000166641 -0.000179307 -0.000155151
113 -0.0023097029 0.0021267082 -0.00942442 1.33815 -0.000850262 -0.00420958 0.00275014 0.110528 0.111531 0.112085 -8.34071e-05 2.21554e-05 0.000364909
114 -0.0011334626 -0.0010026899 -0.0145311 1.34169 -0.00050294 -0.00360983 0.00297931 0.109351 0.111981 0.111243 0.000248061 -9.34411e-05 -0.00010966
115 -0.0017095843 0.00042629764 -0.0130892 1.33789 -0.000675832 -0.00279761 0.00176385 0.11055 0.111459 0.111928 -0.000304061 -0.000121791 0.000266253
116 -0.0027318893 0.0010647484 -0.0176613 1.34202 -0.000709368 -0.00404874 0.00202622 0.109395 0.112107 0.111502 0.00021178 0.000105374 0.000202816
117 -0.0015455748 -0.00056340474 -0.0106082 1.33593 -0.000164133 -0.00334878 0.00196734 0.110509 0.111685 0.111581 -0.000472313 -7.2e-05 0.000135356
118 -0.0029247718 0.0014675784 -0.0146014 1.34256 -0.000610274 -0.00355395 0.00123945 0.109254 0.112155 0.111692 0.000103638 0.00016947 0.000332482
119 -0.00057092311 -0.0012856383 -0.0121175 1.33197 -0.000213384 -0.00230442 0.00194688 0.110258 0.112017 0.11176 -0.00033736 -0.00029432 -0.000147732
120 -0.003652036 0.0018107635 -0.0115644 1.34259 -0.0001723 -0.00355866 7.89216e-05 0.109634 0.112173 0.111793 -5.55458e-05 0.000110523 0.000414874
121 -0.0016644118 -0.00093415634 -0.0131613 1.33472 -0.00154915 -0.00209443 0.00197917 0.109919 0.11229 0.111653 -0.000204747 -0.000103437 -0.000267634
122 -0.0034145226 0.00072985427 -0.012305 1.34634 -0.000705758 -0.00256649 -0.000142276 0.109565 0.11179 0.111612 -0.000133697 7.58593e-05 0.000484445
123 -0.0023675138 -0.00098790691 -0.0102205 1.33585 -0.0011878 -0.0019304 0.000750682 0.109723 0.112414 0.11139 5.74198e-05 -0.000162895 -0.000321175
124 -0.0036848622 0.00026043479 -0.00827822 1.34751 -0.00117415 -0.00192637 -0.00058434 0.109533 0.111838 0.111345 -0.000165266 0.000120061 0.000440969
125 -0.0015146458 -0.0026807351 -0.00906717 1.33505 -0.0010933 -0.0014561 0.00103475 0.109377 0.112121 0.111418 4.80051e-05 -0.0003377 -0.000395234
126 -0.0032183914 0.0014336838 -0.0102322 1.34706 -0.00163761 -0.00188777 0.000306986 0.109905 0.111848 0.111619 -5.37054e-05 0.000104971 0.000407166
127 -0.0034302442 -0.0022907455 -0.00999249 1.33427 -0.00171289 -0.0026742 0.000956844 0.10943 0.11184 0.111448 0.000114473 -3.19974e-05 -0.000538672
128 -0.0034600506 0.0018143548 -0.010895 1.33996 -0.00140702 -0.00141979 -0.00063324 0.110026 0.112229 0.111742 -0.000222079 -7.77277e-05 0.000572716
129 -0.0058163532 -0.00081794149 -0.00984399 1.33602 -0.00323504 -0.00283452 0.000253214 0.109778 0.111805 0.111557 0.000195489 4.68008e-05 -0.000418082
130 -0.0037595241 0.00071802271 -0.00790614 1.33503 -0.00218314 -0.0015046 -7.17907e-05 0.110101 0.112471 0.111753 -0.000326123 -0.000159777 0.000229249
131 -0.0039758228 -0.00057268673 -0.00962069 1.3385 -0.00210757 -0.00172484 -0.000143412 0.109676 0.111734 0.111404 0.000125603 0.000153584 -0.000210535
132 -0.0048130906 0.0011823454 -0.0108038 1.33335 -0.00251327 -0.00147147 -0.000828352 0.110292 0.112344 0.111648 0.000107336 -0.000165492 -2.30122e-05
133 -0.0045793788 -0.0020518425 -0.00637728 1.33998 -0.00166854 -0.00182777 -0.00108307 0.109659 0.111568 0.111669 4.0642e-05 -0.000174842 -0.000330512
134 -0.0046813726 0.0010722211 -0.0132118 1.33956 -0.00227535 -0.00149206 -0.000913968 0.109939 0.112316 0.11138 2.96637e-05 -2.46341e-05 0.000201615
135 -0.0052993626 -0.00084877191 -0.00644235 1.33937 -0.00156597 -0.00225819 -0.00147521 0.109432 0.111782 0.111614 0.000346678 -0.000107555 -0.000269638
136 -0.0052432309 1.6130838e-05 -0.00872897 1.33853 -0.00171466 -0.00230013 -0.00122843 0.109721 0.111995 0.11114 -8.73135e-05 3.23431e-05 0.000298662
137 -0.0042375627 -0.00033965399 -0.00611737 1.34162 -0.00187199 -0.00222673 -0.000138839 0.109597 0.111811 0.11177 0.000288369 -5.73328e-05 -0.000266427
138 -0.0042259376 -0.00015446755 -0.00792087 1.34257 -0.00158206 -0.0027012 5.73154e-05 0.109815 0.112097 0.110982 -1.92765e-05 7.27982e-05 0.000114756
139 -0.0025590044 -0.0002285762 -0.00733354 1.34182 -0.00179534 -0.00200547 0.0012418 0.10978 0.111527 0.111869 0.000105691 -9.6976e-05 -6.6137e-06
140 -0.0039526177 -0.00017927386 -0.00591921 1.34007 -0.00122385 -0.0022784 -0.000450368 0.109879 0.112151 0.110832 -0.000110562 0.000234886 5.13139e-05
141 -0.0031738105 0.00088319237 -0.00751085 1.3411 -0.00180591 -0.00232121 0.000953306 0.109788 0.111574 0.111888 0.000522921 -0.000240676 5.32786e-05
142 -0.004362499 -0.00016246338 -0.00577846 1.33828 -0.000867178 -0.00310829 -0.000387033 0.109882 0.11246 0.110914 -0.00011461 0.000242682 -0.000143795
143 -0.0026640928 0.00028325483 -0.0048299 1.34369 -0.000880853 -0.00225676 0.000473521 0.10954 0.111641 0.111613 0.000429499 -0.000262337 0.000197416
144 -0.0028838624 -6.9193472e-05 -0.00145665 1.33889 -0.000600628 -0.00175457 -0.000528664 0.109902 0.112622 0.111062 -0.000109115 0.000172846 -0.000213347
145 -0.0022111118 0.0015642132 -0.00661354 1.34473 -0.00146702 -0.00218938 0.00144528 0.109857 0.111565 0.111923 0.000302471 -4.34243e-06 0.000217256
146 -0.0020439128 -0.00030424846 -0.00262863 1.33484 -0.000735538 -0.00127146 -3.69143e-05 0.109955 0.112738 0.111328 -0.000114031 -1.54878e-05 -0.000315651
147 -0.001126815 0.0024768641 -0.00229146 1.34345 -0.000447183 -0.00171004 0.00103041 0.110265 0.11135 0.111845 0.000341288 3.75127e-05 0.000383727
148 -0.0024907508 0.00028146478 0.00371639 1.33569 -0.000836205 -0.00150872 -0.000145826 0.109906 0.112797 0.111084 1.05266e-06 4.58842e-05 -0.000179881
149 -0.00061921782 0.0016481912 -0.000349566 1.3457 -0.000334694 -0.00110315 0.00081863 0.110232 0.111284 0.111789 0.000121479 0.000136165 0.00030587
150 -0.0013682433 0.00093193128 0.00720949 1.33478 0.000561102 -0.00127494 -0.000654401 0.11009 0.112778 0.111044 7.32795e-05 4.0952e-05 -9.29298e-05
151 -0.0019642399 0.00098994307 0.00180052 1.34799 6.43437e-05 -0.00106643 -0.000962152 0.109975 0.11131 0.111624 -5.87185e-06 0.000259377 0.000288616
152 -0.00070208877 0.00087879021 0.00158167 1.33244 0.000968321 -0.000441338 -0.00122907 0.110132 0.112805 0.111192 0.000305951 -0.000233955 -0.000176432
153 -0.0027192944 0.00096152154 0.00017961 1.34586 5.57813e-06 -0.00108529 -0.00163959 0.110171 0.111642 0.111831 -0.000154908 0.00027854 4.15433e-05
154 -0.0023557373 0.0040204804 0.00249027 1.33447 0.000745381 -0.0012829 -0.00181822 0.110318 0.11297 0.111713 0.000327976 -0.000114529 0.000293019
155 -0.0024912992 0.00077533958 0.00247314 1.33823 1.58732e-05 -0.0004606 -0.00204657 0.110332 0.111914 0.111816 -0.00023473 0.000264266 -0.000135656
156 -0.0035897451 0.0018408745 -0.00196642 1.33806 -0.000797524 -0.000316066 -0.00247615 0.109765 0.112536 0.111355 2.11251e-05 4.56237e-05 0.00038503
