# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
     366           19.538                8.235         7150.754           53600
     367           19.539                8.236         7170.839           53200
     368           19.541                8.236         7190.994           52800
     369           19.543                8.237         7211.238           52400
     370           19.544                8.238         7231.449           52000
     371           19.546                8.239         7251.699           51600
     372           19.549                8.240         7272.088           51200
     373           19.551                8.241         7292.558           50800
     374           19.554                8.242         7313.198           50400
     375           19.557                8.243         7333.848           50000
     376           19.560                8.244         7354.651           49600
     377           19.564                8.246         7375.475           49200
     378           19.567                8.247         7396.339           48800
     379           19.570                8.249         7417.115           48400
     380           19.573                8.250         7437.893           48000
     381           19.576                8.251         7458.607           47600
     382           19.579                8.252         7479.251           47200
     383           19.582                8.254         7499.974           46800
     384           19.585                8.255         7520.724           46400
     385           19.588                8.256         7541.394           46000
     386           19.591                8.257         7562.123           45600
     387           19.594                8.259         7582.747           45200
     388           19.596                8.260         7603.276           44800
     389           19.599                8.261         7623.820           44400
     390           19.601                8.261         7644.226           44000
     391           19.603                8.262         7664.636           43600
     392           19.605                8.263         7684.971           43200
     393           19.606                8.264         7705.233           42800
     394           19.608                8.265         7725.494           42400
     395           19.610                8.265         7745.846           42000
     396           19.612                8.266         7766.267           41600
     397           19.614                8.267         7786.807           41200
     398           19.617                8.268         7807.399           40800
     399           19.620                8.269         7828.209           40400
     400           19.623                8.271         7849.045           40000
     401           19.626                8.272         7870.049           39600
     402           19.629                8.274         7890.929           39200
     403           19.633                8.275         7911.921           38800
     404           19.636                8.276         7932.915           38400
     405           19.639                8.278         7953.955           38000
     406           19.643                8.279         7975.131           37600
     407           19.646                8.281         7996.013           37200
     408           19.649                8.282         8016.974           36800
     409           19.653                8.283         8037.975           36400
     410           19.657                8.285         8059.217           36000
     411           19.661                8.287         8080.597           35600
     412           19.665                8.289         8102.162           35200
     413           19.670                8.291         8123.853           34800
     414           19.675                8.293         8145.560           34400
     415           19.680                8.295         8167.164           34000
     416           19.684                8.297         8188.738           33600
     417           19.689                8.299         8210.301           33200
     418           19.694                8.301         8231.893           32800
     419           19.698                8.303         8253.573           32400
     420           19.703                8.305         8275.187           32000
     421           19.708                8.307         8297.022           31600
     422           19.713                8.309         8318.933           31200
     423           19.719                8.311         8340.999           30800
     424           19.724                8.314         8363.165           30400
     425           19.731                8.316         8385.495           30000
     426           19.737                8.319         8407.875           29600
     427           19.743                8.322         8430.285           29200
     428           19.749                8.324         8452.735           28800
     429           19.756                8.327         8475.221           28400
     430           19.763                8.330         8497.912           28000
     431           19.769                8.333         8520.567           27600
     432           19.776                8.335         8543.291           27200
     433           19.783                8.338         8566.010           26800
     434           19.790                8.341         8589.015           26400
     435           19.798                8.345         8612.064           26000
     436           19.806                8.348         8635.205           25600
     437           19.813                8.351         8658.371           25200
     438           19.821                8.354         8681.551           24800
     439           19.829                8.358         8704.779           24400
     440           19.837                8.361         8728.100           24000
     441           19.845                8.364         8751.519           23600
     442           19.853                8.368         8774.899           23200
     443           19.860                8.371         8798.011           22800
     444           19.867                8.374         8821.022           22400
     445           19.874                8.377         8843.892           22000
     446           19.880                8.379         8866.511           21600
     447           19.885                8.381         8888.552           21200
     448           19.890                8.383         8910.743           20800
     449           19.894                8.385         8932.488           20400
     450           19.898                8.387         8954.045           20000
     451           19.901                8.388         8975.462           19600
     452           19.905                8.390         8996.895           19200
     453           19.908                8.391         9018.184           18800
     454           19.910                8.392         9039.350           18400
     455           19.913                8.393         9060.373           18000
     456           19.916                8.394         9081.473           17600
     457           19.917                8.395         9102.259           17200
     458           19.919                8.396         9122.754           16800
     459           19.920                8.396         9143.450           16400
     460           19.922                8.397         9163.899           16000
     461           19.923                8.397         9184.274           15600
     462           19.923                8.397         9204.427           15200
     463           19.923                8.397         9224.480           14800
     464           19.923                8.397         9244.350           14400
     465           19.922                8.397         9263.876           14000
     466           19.921                8.396         9283.042           13600
     467           19.917                8.395         9301.308           13200
     468           19.913                8.393         9319.296           12800
     469           19.908                8.391         9336.798           12400
     470           19.902                8.388         9353.756           12000
     471           19.896                8.386         9370.811           11600
     472           19.889                8.383         9387.395           11200
     473           19.882                8.380         9403.981           10800
     474           19.874                8.377         9420.467           10400
     475           19.866                8.373         9436.469           10000
     476           19.858                8.370         9452.215            9600
     477           19.849                8.366         9467.778            9200
     478           19.839                8.362         9482.890            8800
     479           19.829                8.358         9498.012            8400
     480           19.819                8.354         9513.205            8000
     481           19.810                8.350         9528.711            7600
     482           19.801                8.346         9544.177            7200
     483           19.793                8.342         9559.826            6800
     484           19.784                8.339         9575.360            6400
     485           19.775                8.335         9590.827            6000
     486           19.765                8.331         9605.798            5600
     487           19.756                8.327         9621.010            5200
     488           19.745                8.323         9635.797            4800
     489           19.735                8.318         9650.490            4400
     490           19.722                8.313         9663.793            4000
     491           19.708                8.307         9676.608            3600
     492           19.692                8.300         9688.243            3200
     493           19.674                8.292         9699.388            2800
     494           19.658                8.285         9710.853            2400
     495           19.640                8.278         9721.896            2000
     496           19.630                8.274         9736.623            1600
     497           19.621                8.270         9751.760            1200
     498           19.611                8.266         9766.187             800
     499           19.601                8.262         9781.123             400
