# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
     224           19.001                7.975         4256.140          552276
     225           18.989                7.970         4272.565          550275
     226           18.978                7.965         4288.998          548274
     227           18.967                7.961         4305.463          546273
     228           18.956                7.956         4321.936          544272
     229           18.945                7.952         4338.448          542271
     230           18.935                7.947         4354.962          540270
     231           18.924                7.943         4371.496          538269
     232           18.914                7.938         4388.034          536268
     233           18.904                7.934         4404.587          534267
     234           18.894                7.930         4421.162          532266
     235           18.884                7.926         4437.755          530265
     236           18.874                7.922         4454.373          528264
     237           18.865                7.918         4471.010          526263
     238           18.856                7.914         4487.667          524262
     239           18.847                7.910         4504.350          522261
     240           18.838                7.906         4521.052          520260
     241           18.829                7.903         4537.773          518259
     242           18.820                7.899         4554.513          516258
     243           18.812                7.896         4571.284          514257
     244           18.804                7.892         4588.081          512256
     245           18.795                7.889         4604.890          510255
     246           18.787                7.885         4621.720          508254
     247           18.780                7.882         4638.546          506253
     248           18.772                7.879         4655.405          504252
     249           18.764                7.876         4672.262          502251
     250           18.757                7.872         4689.146          500250
     251           18.749                7.869         4706.039          498249
     252           18.742                7.866         4722.967          496248
     253           18.735                7.863         4739.885          494247
     254           18.728                7.860         4756.823          492246
     255           18.721                7.857         4773.768          490245
     256           18.714                7.854         4790.714          488244
     257           18.707                7.852         4807.686          486243
     258           18.700                7.849         4824.635          484242
     259           18.693                7.846         4841.600          482241
     260           18.687                7.843         4858.550          480240
     261           18.680                7.840         4875.509          478239
     262           18.674                7.837         4892.459          476238
     263           18.667                7.835         4909.403          474237
     264           18.660                7.832         4926.354          472236
     265           18.654                7.829         4943.303          470235
     266           18.648                7.827         4960.243          468234
     267           18.641                7.824         4977.214          466233
     268           18.635                7.821         4994.174          464232
     269           18.629                7.819         5011.173          462231
     270           18.623                7.816         5028.166          460230
     271           18.617                7.814         5045.170          458229
     272           18.611                7.811         5062.164          456228
     273           18.605                7.809         5079.172          454227
     274           18.599                7.806         5096.170          452226
     275           18.593                7.804         5113.183          450225
     276           18.588                7.801         5130.181          448224
     277           18.582                7.799         5147.190          446223
     278           18.576                7.797         5164.190          444222
     279           18.571                7.794         5181.213          442221
     280           18.565                7.792         5198.236          440220
     281           18.560                7.790         5215.288          438219
     282           18.554                7.788         5232.353          436218
     283           18.549                7.785         5249.454          434217
     284           18.544                7.783         5266.587          432216
     285           18.539                7.781         5283.720          430215
     286           18.535                7.779         5300.896          428214
     287           18.530                7.777         5318.077          426213
     288           18.525                7.775         5335.285          424212
     289           18.521                7.773         5352.513          422211
     290           18.516                7.772         5369.768          420210
     291           18.512                7.770         5387.057          418209
     292           18.508                7.768         5404.368          416208
     293           18.504                7.766         5421.701          414207
     294           18.500                7.765         5439.047          412206
     295           18.496                7.763         5456.402          410205
     296           18.492                7.761         5473.762          408204
     297           18.489                7.760         5491.120          406203
     298           18.485                7.758         5508.499          404202
