 Time Step CPU E_bond E_angle E_dihed E_impro E_pair E_vdwl E_coul E_long E_tail PotEng Temp Press Lx Ly Lz Density
470.000000 470.000000 470000.000000 1153.044800 26718.288871 42341.506792 10169.076438 0.000000 -6793.400553 -10777.160170 14696.131803 -10712.372186 -1142.786798 72435.470712 501.457210 76.728879 5.104415 5.104415 5.104415 715.547070
480.000000 480.000000 480000.000000 1177.792300 27216.477333 42488.854720 10243.865020 0.000000 -6776.374602 -10732.620654 14668.420753 -10712.174701 -1138.014946 73172.825400 500.710870 -609.919707 5.111540 5.111540 5.111540 712.559230
490.000000 490.000000 490000.000000 1202.372300 27067.352878 42045.078760 10259.372598 0.000000 -6820.376893 -10783.558762 14675.824341 -10712.642472 -1133.564928 72551.430272 501.340120 -491.992707 5.118220 5.118220 5.118220 709.772880
500.000000 500.000000 500000.000000 1227.001000 26493.662882 42655.846528 10412.662642 0.000000 -6657.779122 -10703.969877 14758.272571 -10712.081816 -1135.711696 72904.392512 498.382420 805.415058 5.114993 5.114993 5.114993 711.117060
510.000000 510.000000 510000.000000 1251.389700 26636.470333 42927.814896 10497.938420 0.000000 -6380.592887 -10509.380823 14841.162214 -10712.374278 -1135.694207 73681.629088 497.240030 152.962074 5.115019 5.115019 5.115019 711.106120
520.000000 520.000000 520000.000000 1276.085800 26738.542360 42806.098152 10464.089442 0.000000 -6017.951382 -9932.704287 14626.448120 -10711.695214 -1110.846184 73990.776480 498.231120 407.758712 5.152877 5.152877 5.152877 695.547710
530.000000 530.000000 530000.000000 1300.676800 26600.873698 42738.610232 10350.513506 0.000000 -6720.407326 -10604.900288 14596.707411 -10712.214030 -1140.262884 72969.587600 499.747160 326.552733 5.108179 5.108179 5.108179 713.966760
540.000000 540.000000 540000.000000 1324.956500 27434.772930 42020.886872 10754.625146 0.000000 -6275.969457 -10397.811534 14834.099622 -10712.257962 -1131.149212 73934.317584 497.460860 -175.060165 5.121861 5.121861 5.121861 708.260290
550.000000 550.000000 550000.000000 1349.840900 26827.105506 42931.948688 10733.153695 0.000000 -6731.245978 -10700.100514 14680.877358 -10712.022822 -1135.313254 73760.961912 497.439290 447.716509 5.115591 5.115591 5.115591 710.867590
560.000000 560.000000 560000.000000 1374.779700 26635.633951 42472.783976 10511.155676 0.000000 -6593.108707 -10690.525430 14809.708994 -10712.292271 -1120.716115 73026.464896 501.069050 241.244429 5.137706 5.137706 5.137706 701.727690
570.000000 570.000000 570000.000000 1402.814900 26635.241492 42043.769168 10733.628998 0.000000 -6853.827136 -10678.902278 14537.304234 -10712.229511 -1138.041180 72558.815032 498.710060 -318.824675 5.111501 5.111501 5.111501 712.575640
580.000000 580.000000 580000.000000 1427.470700 26900.827168 43047.071448 10320.738489 0.000000 -6606.468219 -10611.272102 14716.809131 -10712.005249 -1136.117084 73662.169304 496.360580 -1502.877427 5.114384 5.114384 5.114384 711.370890
