 Time Density Pressure Temperature Box-X Box-Y Box-Z
310.0 310.0 710.90276 753.0520305525 496.76995 5.1155069 5.1155069 5.1155069
320.0 320.0 710.09908 832.575669975 502.55969 5.1174360000000005 5.1174360000000005 5.1174360000000005
330.0 330.0 711.14365 -322.7329426125 500.34025 5.114929200000001 5.114929200000001 5.114929200000001
340.0 340.0 724.0692 430.02155720999997 501.30874 5.0843103 5.0843103 5.0843103
350.0 350.0 708.29805 -940.44409662 501.54983 5.1217699 5.1217699 5.1217699
360.0 360.0 710.14185 -408.6448699725 499.86455 5.1173333 5.1173333 5.1173333
370.0 370.0 709.77652 94.52838548475 502.4631 5.1182112 5.1182112 5.1182112
380.0 380.0 715.34881 -131.98488108749999 500.99264 5.1048869 5.1048869 5.1048869
390.0 390.0 701.78131 26.555219523 498.73429 5.137574600000001 5.137574600000001 5.137574600000001
400.0 400.0 709.71069 -90.86029788149999 499.86463 5.118369400000001 5.118369400000001 5.118369400000001
410.0 410.0 713.14968 410.161431645 504.22927 5.1101288 5.1101288 5.1101288
420.0 420.0 716.9699899999999 -373.3958479125 500.28049 5.1010363000000005 5.1010363000000005 5.1010363000000005
430.0 430.0 710.3305300000001 84.31588737075 505.72036 5.116880200000001 5.116880200000001 5.116880200000001
440.0 440.0 710.15998 -902.8107655875 501.14571 5.117289800000001 5.117289800000001 5.117289800000001
450.0 450.0 710.1225 -194.87585964 505.14423 5.1173798 5.1173798 5.1173798
460.0 460.0 706.88284 -546.1813174125 498.84434 5.1251856 5.1251856 5.1251856
470.0 470.0 715.54707 76.728879087 501.45721 5.1044153 5.1044153 5.1044153
480.0 480.0 712.55923 -609.9197073375 500.71087 5.1115399 5.1115399 5.1115399
490.0 490.0 709.7728800000001 -491.9927074125 501.34012 5.1182199 5.1182199 5.1182199
500.0 500.0 711.1170599999999 805.415057895 498.38242 5.114993 5.114993 5.114993
510.0 510.0 711.1061199999999 152.9620742475 497.24003 5.1150192 5.1150192 5.1150192
520.0 520.0 695.54771 407.75871192 498.23112 5.1528769 5.1528769 5.1528769
530.0 530.0 713.96676 326.5527329925 499.74716 5.1081786000000005 5.1081786000000005 5.1081786000000005
540.0 540.0 708.26029 -175.0601650875 497.46086 5.121860900000001 5.121860900000001 5.121860900000001
550.0 550.0 710.86759 447.71650938 497.43929 5.1155913 5.1155913 5.1155913
560.0 560.0 701.72769 241.244429055 501.06905 5.1377055 5.1377055 5.1377055
570.0 570.0 712.5756399999999 -318.8246752425 498.71006 5.1115006 5.1115006 5.1115006
580.0 580.0 711.37089 -1502.877427275 496.36058 5.1143845 5.1143845 5.1143845
590.0 590.0 707.5055500000001 -326.183474295 494.91737 5.1236815 5.1236815 5.1236815
600.0 600.0 703.8894700000001 414.3369031725 496.52652 5.1324404 5.1324404 5.1324404
610.0 610.0 703.9053 -419.5247431725 501.1421 5.132402 5.132402 5.132402
620.0 620.0 698.51531 1106.25966255 499.86068 5.1455693 5.1455693 5.1455693
630.0 630.0 702.5076 -236.7359833125 495.80379 5.135803500000001 5.135803500000001 5.135803500000001
640.0 640.0 713.69096 500.38190065500004 496.70169 5.1088366 5.1088366 5.1088366
650.0 650.0 707.5648799999999 -536.212771395 503.38567 5.1235383 5.1235383 5.1235383
660.0 660.0 720.2173200000001 130.4799211275 497.27481 5.093358200000001 5.093358200000001 5.093358200000001
670.0 670.0 707.82574 521.14191381 499.27123 5.1229088 5.1229088 5.1229088
680.0 680.0 712.5164000000001 555.893977275 500.25035 5.1116423 5.1116423 5.1116423
690.0 690.0 703.05952 -650.861482005 500.37045 5.1344592 5.1344592 5.1344592
700.0 700.0 706.51769 732.68212878 498.77002 5.1260684 5.1260684 5.1260684
710.0 710.0 707.93609 -501.35046633 497.45037 5.1226426 5.1226426 5.1226426
720.0 720.0 712.04308 873.3425576925 501.69986 5.1127747 5.1127747 5.1127747
730.0 730.0 715.718 281.1706232475 504.96726 5.1040090000000005 5.1040090000000005 5.1040090000000005
740.0 740.0 710.14764 383.543394675 502.35002 5.1173194 5.1173194 5.1173194
750.0 750.0 714.0856 -111.373623165 502.38583 5.1078953 5.1078953 5.1078953
760.0 760.0 712.11678 -77.893905831 496.55172 5.1125983 5.1125983 5.1125983
770.0 770.0 709.07478 -334.74323804249997 501.50251 5.119899 5.119899 5.119899
780.0 780.0 708.3780200000001 -450.26555253749996 502.72204 5.1215771 5.1215771 5.1215771
790.0 790.0 716.8075200000001 -574.3163010899999 501.93081 5.1014217 5.1014217 5.1014217
800.0 800.0 711.9173 744.8371669725 503.55723 5.1130757000000004 5.1130757000000004 5.1130757000000004
810.0 810.0 714.60379 -163.06592967 500.55596 5.106660300000001 5.106660300000001 5.106660300000001
820.0 820.0 712.11318 -507.423744975 501.36858 5.1126069 5.1126069 5.1126069
830.0 830.0 713.2836599999999 -664.508054595 502.48729 5.1098088 5.1098088 5.1098088
840.0 840.0 709.19063 343.04211018 502.36137 5.1196202 5.1196202 5.1196202
850.0 850.0 712.2572 -400.53111860999996 500.31782 5.1122623 5.1122623 5.1122623
860.0 860.0 707.9067799999999 -617.6277635325 502.58276 5.122713300000001 5.122713300000001 5.122713300000001
870.0 870.0 707.1818800000001 471.1315921725 500.8592 5.1244631 5.1244631 5.1244631
880.0 880.0 712.54952 497.4692223375 502.09534 5.111563100000001 5.111563100000001 5.111563100000001
890.0 890.0 725.7565099999999 499.9211252175 500.51351 5.0803671 5.0803671 5.0803671
900.0 900.0 709.12131 -1182.0700143 497.5332 5.1197870000000005 5.1197870000000005 5.1197870000000005
910.0 910.0 719.2305799999999 1255.293842775 501.15095 5.095686400000001 5.095686400000001 5.095686400000001
920.0 920.0 716.9819 -246.2072971575 502.612 5.1010081000000005 5.1010081000000005 5.1010081000000005
930.0 930.0 726.93138 163.6432085925 501.81133 5.077628700000001 5.077628700000001 5.077628700000001
940.0 940.0 721.91772 88.51298671949999 500.4203 5.0893561 5.0893561 5.0893561
950.0 950.0 716.80277 135.74071512749998 500.67203 5.101433 5.101433 5.101433
960.0 960.0 720.5211 -20.778648849 503.95667 5.0926423000000005 5.0926423000000005 5.0926423000000005
970.0 970.0 713.9255599999999 230.863642275 498.37113 5.1082769 5.1082769 5.1082769
980.0 980.0 716.88478 -1694.690313225 502.40751 5.1012384 5.1012384 5.1012384
990.0 990.0 708.00616 -209.1772247775 505.51062 5.1224736 5.1224736 5.1224736
1000.0 1000.0 717.7009899999999 820.4206115175 499.93209 5.099303900000001 5.099303900000001 5.099303900000001
1010.0 1010.0 712.8559799999999 69.16634383050001 505.73474 5.1108305000000005 5.1108305000000005 5.1108305000000005
1020.0 1020.0 700.53311 795.9205406250001 500.33216 5.1406242 5.1406242 5.1406242
1030.0 1030.0 707.51297 -1000.5524272275001 502.04954 5.1236636 5.1236636 5.1236636
1040.0 1040.0 702.60862 203.273776965 506.22044 5.1355573 5.1355573 5.1355573
1050.0 1050.0 711.74955 399.79975476 498.56727 5.113477400000001 5.113477400000001 5.113477400000001
1060.0 1060.0 712.75973 -538.70567037 496.9822 5.111060500000001 5.111060500000001 5.111060500000001
1070.0 1070.0 711.15874 698.8178445675 501.95792 5.1148931 5.1148931 5.1148931
1080.0 1080.0 715.33851 43.610786625 501.17565 5.104911400000001 5.104911400000001 5.104911400000001
1090.0 1090.0 724.7741 -1037.2800343499998 502.91137 5.0826615 5.0826615 5.0826615
1100.0 1100.0 715.31975 -171.00490554 500.61258 5.1049560000000005 5.1049560000000005 5.1049560000000005
1110.0 1110.0 721.66722 -97.9559417235 500.38301 5.0899449 5.0899449 5.0899449
1120.0 1120.0 713.32217 567.9224808074999 500.6684 5.109716800000001 5.109716800000001 5.109716800000001
1130.0 1130.0 713.7666 -476.3222084775 501.85318 5.108656100000001 5.108656100000001 5.108656100000001
1140.0 1140.0 709.46432 -390.908506275 503.81137 5.118961800000001 5.118961800000001 5.118961800000001
1150.0 1150.0 708.6475300000001 19.4972260245 499.58098 5.1209278000000005 5.1209278000000005 5.1209278000000005
1160.0 1160.0 724.39968 358.0360924875 502.42233 5.083537 5.083537 5.083537
1170.0 1170.0 710.6630299999999 742.1800505699999 498.99024 5.1160820000000005 5.1160820000000005 5.1160820000000005
1180.0 1180.0 703.8346300000001 167.24245497750002 498.11727 5.1325737 5.1325737 5.1325737
1190.0 1190.0 710.27469 529.1551913025 506.40165 5.117014300000001 5.117014300000001 5.117014300000001
1200.0 1200.0 715.39603 504.6773612475 498.2293 5.1047745 5.1047745 5.1047745
1210.0 1210.0 707.08748 816.9498654975 498.40432 5.1246911 5.1246911 5.1246911
1220.0 1220.0 702.4048200000001 -355.5490703625 499.77848 5.136054000000001 5.136054000000001 5.136054000000001
1230.0 1230.0 711.7239 440.56234629749997 500.62014 5.113538800000001 5.113538800000001 5.113538800000001
1240.0 1240.0 715.1703 971.69880612 496.61053 5.1053116 5.1053116 5.1053116
1250.0 1250.0 727.4839199999999 -810.2129283674999 496.19854 5.0763428 5.0763428 5.0763428
1260.0 1260.0 723.0261300000001 997.5107520525 499.69315 5.0867541 5.0867541 5.0867541
1270.0 1270.0 717.04762 344.19421596 501.65606 5.1008522 5.1008522 5.1008522
1280.0 1280.0 717.81187 -772.8349869975 499.00194 5.0990413 5.0990413 5.0990413
1290.0 1290.0 705.23196 -690.1039553625 502.80565 5.1291816 5.1291816 5.1291816
1300.0 1300.0 707.12619 111.6377875725 504.14542 5.1245976 5.1245976 5.1245976
1310.0 1310.0 709.86817 1527.8375238 502.4793 5.117990900000001 5.117990900000001 5.117990900000001
1320.0 1320.0 709.92575 456.657326055 501.06904 5.117852500000001 5.117852500000001 5.117852500000001
1330.0 1330.0 713.90003 403.05273309 503.01477 5.108337800000001 5.108337800000001 5.108337800000001
1340.0 1340.0 711.39323 65.97145107 499.22056 5.114331 5.114331 5.114331
1350.0 1350.0 714.21821 -1527.33252 497.74814 5.107579100000001 5.107579100000001 5.107579100000001
1360.0 1360.0 702.67171 -515.533311615 499.57145 5.1354037 5.1354037 5.1354037
1370.0 1370.0 707.76515 642.0665429324999 501.21427 5.123055000000001 5.123055000000001 5.123055000000001
1380.0 1380.0 702.68331 9.040747949624999 500.64709 5.135375400000001 5.135375400000001 5.135375400000001
1390.0 1390.0 716.82604 937.8610082625 500.81238 5.101377800000001 5.101377800000001 5.101377800000001
1400.0 1400.0 712.83944 -373.083290685 501.36012 5.11087 5.11087 5.11087
1410.0 1410.0 707.45234 1047.04371135 500.56564 5.1238099 5.1238099 5.1238099
1420.0 1420.0 706.50167 195.2825072625 499.47901 5.1261071000000005 5.1261071000000005 5.1261071000000005
1430.0 1430.0 705.4330199999999 -784.569952005 503.492 5.1286943 5.1286943 5.1286943
1440.0 1440.0 712.08574 882.15356691 498.92601 5.1126725 5.1126725 5.1126725
1450.0 1450.0 716.16225 387.97237121999996 504.68303 5.1029534000000005 5.1029534000000005 5.1029534000000005
1460.0 1460.0 710.42822 197.96820744750002 500.12571 5.1166456 5.1166456 5.1166456
1470.0 1470.0 707.39229 -884.54864673 499.20514 5.1239549 5.1239549 5.1239549
1480.0 1480.0 715.59663 -988.0063251974999 498.79016 5.1042975 5.1042975 5.1042975
1490.0 1490.0 711.90068 -18.4900109415 504.77632 5.1131155 5.1131155 5.1131155
1500.0 1500.0 705.25647 -450.00005064 501.35085 5.1291222 5.1291222 5.1291222
1510.0 1510.0 707.5848 307.19883725999995 495.73129 5.1234902 5.1234902 5.1234902
1520.0 1520.0 706.46865 -634.4208624075001 500.48311 5.126187000000001 5.126187000000001 5.126187000000001
1530.0 1530.0 701.31013 -374.4713317275 501.89671 5.1387249 5.1387249 5.1387249
1540.0 1540.0 715.2595299999999 204.41124128250001 499.28295 5.1050993 5.1050993 5.1050993
1550.0 1550.0 714.60257 551.4904637025 495.45753 5.1066632 5.1066632 5.1066632
1560.0 1560.0 704.28983 744.034237275 500.32788 5.131467700000001 5.131467700000001 5.131467700000001
1570.0 1570.0 707.24054 -519.65199048 498.46664 5.1243214 5.1243214 5.1243214
1580.0 1580.0 712.5935 -1393.97483715 500.66601 5.1114579 5.1114579 5.1114579
1590.0 1590.0 707.96125 -149.44725185250002 502.37214 5.1225819 5.1225819 5.1225819
1600.0 1600.0 711.6150700000001 179.5370278275 499.58372 5.1137995 5.1137995 5.1137995
1610.0 1610.0 709.5077 -737.294179335 496.73477 5.118857500000001 5.118857500000001 5.118857500000001
1620.0 1620.0 705.15387 384.62702501999996 498.07963 5.129371 5.129371 5.129371
1630.0 1630.0 728.45356 126.7602803775 499.26613 5.0740894 5.0740894 5.0740894
1640.0 1640.0 719.19236 196.567358925 497.8513 5.0957767 5.0957767 5.0957767
1650.0 1650.0 708.90529 181.5846236925 498.15983 5.120307 5.120307 5.120307
1660.0 1660.0 716.3261600000001 -75.98026364249999 505.02129 5.1025641 5.1025641 5.1025641
1670.0 1670.0 706.67399 -263.375065485 498.77207 5.1256904 5.1256904 5.1256904
