# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
     164           163              0.2060532710E+02  0.2047968486E+02   0.3358668317E+04   5088700
     165           164              0.2060891901E+02  0.2048401647E+02   0.3379862717E+04   5073600
     166           165              0.2061243822E+02  0.2048826690E+02   0.3401052306E+04   5058500
     167           166              0.2061592161E+02  0.2049247298E+02   0.3422242988E+04   5043400
     168           167              0.2061932164E+02  0.2049658759E+02   0.3443426715E+04   5028300
     169           168              0.2062263793E+02  0.2050061049E+02   0.3464603172E+04   5013200
     170           169              0.2062588487E+02  0.2050455613E+02   0.3485774543E+04   4998100
     171           170              0.2062905777E+02  0.2050842000E+02   0.3506939820E+04   4983000
     172           171              0.2063216464E+02  0.2051221020E+02   0.3528100154E+04   4967900
     173           172              0.2063522378E+02  0.2051594503E+02   0.3549258489E+04   4952800
     174           173              0.2063822623E+02  0.2051961573E+02   0.3570413137E+04   4937700
     175           174              0.2064119787E+02  0.2052324816E+02   0.3591568429E+04   4922600
     176           175              0.2064413422E+02  0.2052683800E+02   0.3612723488E+04   4907500
     177           176              0.2064700996E+02  0.2053036018E+02   0.3633873752E+04   4892400
     178           177              0.2064980607E+02  0.2053379592E+02   0.3655015674E+04   4877300
     179           178              0.2065256079E+02  0.2053718336E+02   0.3676155821E+04   4862200
     180           179              0.2065523892E+02  0.2054048760E+02   0.3697287767E+04   4847100
     181           180              0.2065785719E+02  0.2054372538E+02   0.3718414294E+04   4832000
     182           181              0.2066042252E+02  0.2054690371E+02   0.3739536475E+04   4816900
     183           182              0.2066293127E+02  0.2055001908E+02   0.3760653491E+04   4801800
     184           183              0.2066542180E+02  0.2055310973E+02   0.3781772190E+04   4786700
     185           184              0.2066788166E+02  0.2055616338E+02   0.3802890225E+04   4771600
     186           185              0.2067031663E+02  0.2055918590E+02   0.3824008577E+04   4756500
     187           186              0.2067277787E+02  0.2056222826E+02   0.3845136684E+04   4741400
     188           187              0.2067523234E+02  0.2056525770E+02   0.3866268447E+04   4726300
     189           188              0.2067769830E+02  0.2056829249E+02   0.3887407281E+04   4711200
     190           189              0.2068016744E+02  0.2057132445E+02   0.3908551646E+04   4696100
     191           190              0.2068262706E+02  0.2057434106E+02   0.3929699142E+04   4681000
     192           191              0.2068513208E+02  0.2057739702E+02   0.3950860228E+04   4665900
     193           192              0.2068762514E+02  0.2058043537E+02   0.3972024026E+04   4650800
     194           193              0.2069013918E+02  0.2058348898E+02   0.3993196862E+04   4635700
     195           194              0.2069262675E+02  0.2058651072E+02   0.4014369590E+04   4620600
     196           195              0.2069513023E+02  0.2058954283E+02   0.4035550395E+04   4605500
     197           196              0.2069762764E+02  0.2059256354E+02   0.4056735017E+04   4590400
     198           197              0.2070013798E+02  0.2059559183E+02   0.4077927183E+04   4575300
     199           198              0.2070267598E+02  0.2059864243E+02   0.4099129844E+04   4560200
     200           199              0.2070522886E+02  0.2060170272E+02   0.4120340543E+04   4545100
     201           200              0.2070780057E+02  0.2060477669E+02   0.4141560114E+04   4530000
     202           201              0.2071037665E+02  0.2060785003E+02   0.4162785706E+04   4514900
     203           202              0.2071295252E+02  0.2061091827E+02   0.4184016409E+04   4499800
     204           203              0.2071554362E+02  0.2061399684E+02   0.4205255354E+04   4484700
     205           204              0.2071814452E+02  0.2061708040E+02   0.4226501482E+04   4469600
