# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
     208           207              0.2076678820E+02  0.2066694787E+02   0.4298725158E+04   4395000
     209           208              0.2076949303E+02  0.2067011747E+02   0.4320054550E+04   4380000
     210           209              0.2077219226E+02  0.2067327706E+02   0.4341388182E+04   4365000
     211           210              0.2077488885E+02  0.2067642966E+02   0.4362726658E+04   4350000
     212           211              0.2077756794E+02  0.2067956054E+02   0.4384066836E+04   4335000
     213           212              0.2078024661E+02  0.2068268677E+02   0.4405412282E+04   4320000
     214           213              0.2078292123E+02  0.2068580477E+02   0.4426762221E+04   4305000
     215           214              0.2078560405E+02  0.2068892682E+02   0.4448119266E+04   4290000
     216           215              0.2078830133E+02  0.2069205920E+02   0.4469484787E+04   4275000
     217           216              0.2079100462E+02  0.2069519354E+02   0.4490856999E+04   4260000
     218           217              0.2079371648E+02  0.2069833246E+02   0.4512236476E+04   4245000
     219           218              0.2079641588E+02  0.2070145507E+02   0.4533618661E+04   4230000
     220           219              0.2079911487E+02  0.2070457344E+02   0.4555006157E+04   4215000
     221           220              0.2080180256E+02  0.2070767676E+02   0.4576396563E+04   4200000
     222           221              0.2080448325E+02  0.2071076937E+02   0.4597790799E+04   4185000
     223           222              0.2080714885E+02  0.2071384325E+02   0.4619187046E+04   4170000
     224           223              0.2080980428E+02  0.2071690337E+02   0.4640586354E+04   4155000
     225           224              0.2081247175E+02  0.2071997188E+02   0.4661993673E+04   4140000
     226           225              0.2081516805E+02  0.2072306554E+02   0.4683412811E+04   4125000
     227           226              0.2081788294E+02  0.2072617420E+02   0.4704841545E+04   4110000
     228           227              0.2082062757E+02  0.2072930903E+02   0.4726282458E+04   4095000
     229           228              0.2082340449E+02  0.2073247259E+02   0.4747736223E+04   4080000
     230           229              0.2082621240E+02  0.2073566365E+02   0.4769202640E+04   4065000
     231           230              0.2082905979E+02  0.2073889070E+02   0.4790683751E+04   4050000
     232           231              0.2083189359E+02  0.2074210094E+02   0.4812167418E+04   4035000
     233           232              0.2083472351E+02  0.2074530409E+02   0.4833655854E+04   4020000
     234           233              0.2083756016E+02  0.2074851075E+02   0.4855151516E+04   4005000
     235           234              0.2084038736E+02  0.2075170486E+02   0.4876650643E+04   3990000
     236           235              0.2084318802E+02  0.2075486942E+02   0.4898149184E+04   3975000
     237           236              0.2084598128E+02  0.2075802356E+02   0.4919651583E+04   3960000
     238           237              0.2084874816E+02  0.2076114838E+02   0.4941153315E+04   3945000
     239           238              0.2085151187E+02  0.2076426705E+02   0.4962659826E+04   3930000
     240           239              0.2085427102E+02  0.2076737822E+02   0.4984170773E+04   3915000
     241           240              0.2085702075E+02  0.2077047710E+02   0.5005684980E+04   3900000
     242           241              0.2085975850E+02  0.2077356115E+02   0.5027201797E+04   3885000
     243           242              0.2086253580E+02  0.2077668174E+02   0.5048733663E+04   3870000
     244           243              0.2086533771E+02  0.2077982403E+02   0.5070277062E+04   3855000
     245           244              0.2086816935E+02  0.2078299315E+02   0.5091833321E+04   3840000
     246           245              0.2087102496E+02  0.2078618340E+02   0.5113401115E+04   3825000
     247           246              0.2087389330E+02  0.2078938361E+02   0.5134977751E+04   3810000
     248           247              0.2087676979E+02  0.2079258927E+02   0.5156562139E+04   3795000
     249           248              0.2087965983E+02  0.2079580577E+02   0.5178155637E+04   3780000
     250           249              0.2088253125E+02  0.2079900113E+02   0.5199750282E+04   3765000
     251           250              0.2088540179E+02  0.2080219302E+02   0.5221350448E+04   3750000
     252           251              0.2088827847E+02  0.2080538847E+02   0.5242957895E+04   3735000
     253           252              0.2089114644E+02  0.2080857274E+02   0.5264568903E+04   3720000
     254           253              0.2089401046E+02  0.2081175058E+02   0.5286184647E+04   3705000
     255           254              0.2089685360E+02  0.2081490515E+02   0.5307800814E+04   3690000
     256           255              0.2089969239E+02  0.2081805296E+02   0.5329421558E+04   3675000
     257           256              0.2090246293E+02  0.2082113039E+02   0.5351030511E+04   3660000
     258           257              0.2090522149E+02  0.2082419350E+02   0.5372641923E+04   3645000
     259           258              0.2090791055E+02  0.2082718503E+02   0.5394240923E+04   3630000
     260           259              0.2091054684E+02  0.2083012166E+02   0.5415831632E+04   3615000
     261           260              0.2091312284E+02  0.2083299594E+02   0.5437411940E+04   3600000
     262           261              0.2091565273E+02  0.2083582200E+02   0.5458985364E+04   3585000
     263           262              0.2091810583E+02  0.2083856931E+02   0.5480543729E+04   3570000
